state,def_number,definition_id,metric,metric_label,percentile,minimum_duration_days,window,window_label,reference_method,comparison_op,season_rule,absolute_floor,status,threshold_degF_median,threshold_degF_p5,threshold_degF_p95,threshold_degF_median_jun_sep,threshold_degF_median_dec_feb,threshold_degF_summer_minus_winter,baseline_obs_per_threshold_median,threshold_rows_low_n_ref,threshold_rows_total,heatwave_days_QA_pooled_2015_2025,heatwave_events_QA_pooled_2015_2025,per_county_days_median,per_county_days_q25,per_county_days_q75,per_county_days_min,per_county_days_max,event_duration_days_median,event_duration_days_max,events_at_or_over_review_length,pct_heatwave_days_in_jun_sep,rate_jun_sep_per_1000_eligible,rate_oct_may_per_1000_eligible,peak_month_by_rate,pct_heatwave_days_imputed,counties_with_any_heatwave_day
TX,2,MHI_P95_2D,MHI,daily-mean heat index,95,2,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,78.6,56.2,98.0,93.1,62.9,30.3,1809.0,0.0,33528.0,45107.0,15112.0,160.0,123.0,218.0,6.0,482.0,2.0,26.0,2.0,39.04,51.67,40.46,Dec,14.9,254.0
TX,5,TMAX_P85_2D,TMAX,daily maximum temperature,85,2,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,86.6,68.3,100.9,98.1,72.0,26.1,205.0,0.0,1022604.0,166682.0,43751.0,636.0,557.0,742.0,234.0,1251.0,3.0,66.0,162.0,36.43,178.14,155.89,Oct,16.0,254.0
TX,5,TMAX_P85_2D,TMAX,daily maximum temperature,85,2,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,87.0,68.8,100.9,98.1,72.0,26.1,615.0,0.0,1022604.0,161004.0,42631.0,617.0,541.0,720.0,215.0,1220.0,3.0,66.0,160.0,37.06,175.03,149.1,Oct,16.01,254.0
TX,5,TMAX_P85_2D,TMAX,daily maximum temperature,85,2,month,calendar-month bucket,walk_forward_1979_to_Yminus1,>,year_round,none,tested,87.3,69.1,100.9,98.1,72.5,25.5,1240.0,0.0,33528.0,158349.0,41318.0,605.0,533.0,707.0,207.0,1185.0,3.0,66.0,167.0,36.41,169.12,148.16,Oct,16.16,254.0
TX,5,TMAX_P85_2D,TMAX,daily maximum temperature,85,2,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,88.0,69.1,100.9,98.1,72.9,25.1,1809.0,0.0,33528.0,148222.0,39146.0,564.0,494.0,660.0,185.0,1074.0,3.0,69.0,164.0,37.36,162.44,136.61,Aug,16.03,254.0
TX,12,TMAX_P85_3D,TMAX,daily maximum temperature,85,3,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,86.6,68.3,100.9,98.1,72.0,26.1,205.0,0.0,1022604.0,130118.0,25469.0,486.0,407.0,599.0,140.0,1059.0,4.0,66.0,162.0,40.45,154.41,114.0,Oct,16.41,254.0
TX,12,TMAX_P85_3D,TMAX,daily maximum temperature,85,3,w15,centered 15-day window (+/-7 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,87.0,68.8,100.9,98.1,72.0,26.1,615.0,0.0,1022604.0,124812.0,24535.0,470.0,391.0,576.0,125.0,1016.0,4.0,66.0,160.0,41.4,151.58,107.61,Aug,16.47,254.0
TX,12,TMAX_P85_3D,TMAX,daily maximum temperature,85,3,month,calendar-month bucket,walk_forward_1979_to_Yminus1,>,year_round,none,tested,87.3,69.1,100.9,98.1,72.5,25.5,1240.0,0.0,33528.0,124531.0,24409.0,476.0,398.0,562.0,129.0,999.0,4.0,66.0,167.0,40.1,146.51,109.74,Aug,16.62,254.0
TX,12,TMAX_P85_3D,TMAX,daily maximum temperature,85,3,month_pm7,calendar month +/- 7 days,walk_forward_1979_to_Yminus1,>,year_round,none,tested,88.0,69.1,100.9,98.1,72.9,25.1,1809.0,0.0,33528.0,115678.0,22874.0,433.0,371.0,526.0,101.0,912.0,4.0,69.0,164.0,41.45,140.67,99.64,Aug,16.53,254.0
TX,3,TMAX_P90_2D,TMAX,daily maximum temperature,90,2,w05,centered 5-day window (+/-2 days),walk_forward_1979_to_Yminus1,>,year_round,none,tested,88.0,70.6,102.0,99.0,73.9,25.1,205.0,0.0,1022604.0,114603.0,31963.0,432.0,366.0,524.0,125.0,956.0,3.0,48.0,72.0,36.81,123.75,106.55,Oct,15.24,254.0
