state,axis,contrast,from_run,to_run,from_value,to_value,metric_held,window_held,heatwave_days_from_QA_pooled,heatwave_days_to_QA_pooled,count_ratio_hi_over_lo,pct_count_difference,jaccard_day_level,county_dates_shared,county_dates_disagreeing,county_rank_spearman
TX,duration,2 vs 3,TMIN_P95_3D__month,TMIN_P95_2D__month,3,2,TMIN,month,43309,61903,1.4293,42.93,0.6996,43309,18594,0.9833
TX,window,month vs w05,TMIN_P85_3D__month,TMIN_P85_3D__w05,month,w05,TMIN,,145237,148116,1.0198,1.98,0.7035,121149,51055,0.9895
TX,duration,2 vs 3,MHI_P90_3D__w15,MHI_P90_2D__w15,3,2,MHI,w15,77785,110243,1.4173,41.73,0.7056,77785,32458,0.9791
TX,window,month vs w15,TMAX_P85_2D__month,TMAX_P85_2D__w15,month,w15,TMAX,,158349,161004,1.0168,1.68,0.7073,132298,54757,0.9877
TX,duration,2 vs 3,MHI_P90_3D__w05,MHI_P90_2D__w05,3,2,MHI,w05,82824,116802,1.4102,41.02,0.7091,82824,33978,0.9818
TX,duration,2 vs 3,MHI_P90_3D__month_pm7,MHI_P90_2D__month_pm7,3,2,MHI,month_pm7,71012,99482,1.4009,40.09,0.7138,71012,28470,0.9828
TX,window,month_pm7 vs w15,TMIN_P90_2D__month_pm7,TMIN_P90_2D__w15,month_pm7,w15,TMIN,,115028,121777,1.0587,5.87,0.7171,98893,39019,0.9823
TX,window,month_pm7 vs w05,TMIN_P85_2D__month_pm7,TMIN_P85_2D__w05,month_pm7,w05,TMIN,,174134,187198,1.075,7.5,0.7209,151365,58602,0.9812
TX,window,month vs w15,TMIN_P90_2D__w15,TMIN_P90_2D__month,w15,month,TMIN,,121777,122363,1.0048,0.48,0.7223,102387,39366,0.9898
TX,duration,2 vs 3,MHI_P90_3D__month,MHI_P90_2D__month,3,2,MHI,month,79886,110334,1.3811,38.11,0.724,79886,30448,0.9846
TX,window,month_pm7 vs w15,TMIN_P85_3D__month_pm7,TMIN_P85_3D__w15,month_pm7,w15,TMIN,,138124,143020,1.0354,3.54,0.7253,118193,44758,0.9826
TX,window,month vs w05,TMIN_P85_2D__month,TMIN_P85_2D__w05,month,w05,TMIN,,182251,187198,1.0271,2.71,0.7269,155517,58415,0.9915
TX,window,month vs w15,TMIN_P85_3D__w15,TMIN_P85_3D__month,w15,month,TMIN,,143020,145237,1.0155,1.55,0.7283,121471,45315,0.9882
TX,duration,2 vs 3,TMAX_P90_3D__month_pm7,TMAX_P90_2D__month_pm7,3,2,TMAX,month_pm7,72426,97478,1.3459,34.59,0.743,72426,25052,0.9565
TX,duration,2 vs 3,TMAX_P90_3D__w15,TMAX_P90_2D__w15,3,2,TMAX,w15,80755,108359,1.3418,34.18,0.7453,80755,27604,0.9584
TX,window,month_pm7 vs w15,TMIN_P85_2D__month_pm7,TMIN_P85_2D__w15,month_pm7,w15,TMIN,,174134,181444,1.042,4.2,0.7471,152057,51464,0.9844
TX,duration,2 vs 3,TMIN_P90_3D__w15,TMIN_P90_2D__w15,3,2,TMIN,w15,91133,121777,1.3363,33.63,0.7484,91133,30644,0.9873
TX,duration,2 vs 3,TMIN_P90_3D__w05,TMIN_P90_2D__w05,3,2,TMIN,w05,95876,127906,1.3341,33.41,0.7496,95876,32030,0.9883
TX,duration,2 vs 3,TMAX_P90_3D__w05,TMAX_P90_2D__w05,3,2,TMAX,w05,85949,114603,1.3334,33.34,0.75,85949,28654,0.9592
TX,window,month vs w15,TMIN_P85_2D__w15,TMIN_P85_2D__month,w15,month,TMIN,,181444,182251,1.0044,0.44,0.7513,156021,51653,0.9927
TX,duration,2 vs 3,TMAX_P90_3D__month,TMAX_P90_2D__month,3,2,TMAX,month,80451,106769,1.3271,32.71,0.7535,80451,26318,0.9622
TX,duration,2 vs 3,TMIN_P90_3D__month_pm7,TMIN_P90_2D__month_pm7,3,2,TMIN,month_pm7,87272,115028,1.318,31.8,0.7587,87272,27756,0.989
TX,duration,2 vs 3,TMIN_P90_3D__month,TMIN_P90_2D__month,3,2,TMIN,month,93161,122363,1.3135,31.35,0.7613,93161,29202,0.9873
TX,duration,2 vs 3,TMAX_P85_3D__w15,TMAX_P85_2D__w15,3,2,TMAX,w15,124812,161004,1.29,29.0,0.7752,124812,36192,0.9645
TX,window,w05 vs w15,TMIN_P95_3D__w15,TMIN_P95_3D__w05,w15,w05,TMIN,,42638,47099,1.1046,10.46,0.7791,39297,11143,0.9864
TX,duration,2 vs 3,TMAX_P85_3D__month_pm7,TMAX_P85_2D__month_pm7,3,2,TMAX,month_pm7,115678,148222,1.2813,28.13,0.7804,115678,32544,0.967
TX,duration,2 vs 3,TMAX_P85_3D__w05,TMAX_P85_2D__w05,3,2,TMAX,w05,130118,166682,1.281,28.1,0.7806,130118,36564,0.9659
TX,window,w05 vs w15,TMAX_P95_3D__w15,TMAX_P95_3D__w05,w15,w05,TMAX,,38876,43977,1.1312,13.12,0.7819,36357,10139,0.9857
TX,duration,2 vs 3,TMAX_P85_3D__month,TMAX_P85_2D__month,3,2,TMAX,month,124531,158349,1.2716,27.16,0.7864,124531,33818,0.9684
TX,duration,2 vs 3,TMIN_P85_3D__w15,TMIN_P85_2D__w15,3,2,TMIN,w15,143020,181444,1.2687,26.87,0.7882,143020,38424,0.9912
TX,window,w05 vs w15,MHI_P95_2D__w15,MHI_P95_2D__w05,w15,w05,MHI,,52786,58890,1.1156,11.56,0.7883,49227,13222,0.9901
TX,duration,2 vs 3,TMIN_P85_3D__w05,TMIN_P85_2D__w05,3,2,TMIN,w05,148116,187198,1.2639,26.39,0.7912,148116,39082,0.9901
TX,duration,2 vs 3,TMIN_P85_3D__month_pm7,TMIN_P85_2D__month_pm7,3,2,TMIN,month_pm7,138124,174134,1.2607,26.07,0.7932,138124,36010,0.9879
TX,window,w05 vs w15,TMIN_P95_2D__w15,TMIN_P95_2D__w05,w15,w05,TMIN,,61496,67525,1.098,9.8,0.7944,57120,14781,0.9913
TX,duration,2 vs 3,TMIN_P85_3D__month,TMIN_P85_2D__month,3,2,TMIN,month,145237,182251,1.2549,25.49,0.7969,145237,37014,0.9889
TX,window,w05 vs w15,TMAX_P95_2D__w15,TMAX_P95_2D__w05,w15,w05,TMAX,,56576,62917,1.1121,11.21,0.8011,53147,13199,0.9903
TX,window,month vs month_pm7,MHI_P95_2D__month_pm7,MHI_P95_2D__month,month_pm7,month,MHI,,45107,53273,1.181,18.1,0.8121,44090,10200,0.9856
TX,window,month vs month_pm7,TMAX_P95_3D__month_pm7,TMAX_P95_3D__month,month_pm7,month,TMAX,,32851,38426,1.1697,16.97,0.8293,32312,6653,0.9799
TX,window,w05 vs w15,MHI_P90_3D__w15,MHI_P90_3D__w05,w15,w05,MHI,,77785,82824,1.0648,6.48,0.8348,73072,14465,0.9929
TX,window,w05 vs w15,TMIN_P90_3D__w15,TMIN_P90_3D__w05,w15,w05,TMIN,,91133,95876,1.052,5.2,0.8427,85524,15961,0.9916
TX,window,month vs month_pm7,TMAX_P95_2D__month_pm7,TMAX_P95_2D__month,month_pm7,month,TMAX,,48059,55270,1.15,15.0,0.8463,47364,8601,0.9843
TX,window,w05 vs w15,MHI_P90_2D__w15,MHI_P90_2D__w05,w15,w05,MHI,,110243,116802,1.0595,5.95,0.8496,104292,18461,0.9959
TX,window,month vs month_pm7,MHI_P90_3D__month_pm7,MHI_P90_3D__month,month_pm7,month,MHI,,71012,79886,1.125,12.5,0.851,69375,12148,0.9895
TX,window,w05 vs w15,TMAX_P90_3D__w15,TMAX_P90_3D__w05,w15,w05,TMAX,,80755,85949,1.0643,6.43,0.8518,76680,13344,0.9926
TX,window,w05 vs w15,TMIN_P90_2D__w15,TMIN_P90_2D__w05,w15,w05,TMIN,,121777,127906,1.0503,5.03,0.8576,115274,19135,0.9958
TX,window,w05 vs w15,TMAX_P90_2D__w15,TMAX_P90_2D__w05,w15,w05,TMAX,,108359,114603,1.0576,5.76,0.8637,103331,16300,0.9938
TX,window,month vs month_pm7,TMIN_P95_3D__month_pm7,TMIN_P95_3D__month,month_pm7,month,TMIN,,39412,43309,1.0989,9.89,0.8662,38395,5931,0.9856
TX,window,month vs month_pm7,MHI_P90_2D__month_pm7,MHI_P90_2D__month,month_pm7,month,MHI,,99482,110334,1.1091,10.91,0.8712,97685,14446,0.9931
TX,window,w05 vs w15,TMIN_P85_3D__w15,TMIN_P85_3D__w05,w15,w05,TMIN,,143020,148116,1.0356,3.56,0.873,135700,19736,0.9949
TX,window,w05 vs w15,TMAX_P85_3D__w15,TMAX_P85_3D__w05,w15,w05,TMAX,,124812,130118,1.0425,4.25,0.8776,119153,16624,0.9937
TX,window,month vs month_pm7,TMAX_P90_3D__month_pm7,TMAX_P90_3D__month,month_pm7,month,TMAX,,72426,80451,1.1108,11.08,0.8783,71487,9903,0.9866
TX,window,w05 vs w15,MHI_P85_2D__w15,MHI_P85_2D__w05,w15,w05,MHI,,170894,177271,1.0373,3.73,0.8788,162857,22451,0.9961
TX,window,month vs month_pm7,TMIN_P95_2D__month_pm7,TMIN_P95_2D__month,month_pm7,month,TMIN,,56590,61903,1.0939,9.39,0.8798,55459,7575,0.9895
TX,window,w05 vs w15,TMIN_P85_2D__w15,TMIN_P85_2D__w05,w15,w05,TMIN,,181444,187198,1.0317,3.17,0.8849,173063,22516,0.9961
TX,window,w05 vs w15,TMAX_P85_2D__w15,TMAX_P85_2D__w05,w15,w05,TMAX,,161004,166682,1.0353,3.53,0.8884,154159,19368,0.9955
TX,window,month vs month_pm7,TMAX_P90_2D__month_pm7,TMAX_P90_2D__month,month_pm7,month,TMAX,,97478,106769,1.0953,9.53,0.8931,96355,11537,0.9883
TX,window,month vs month_pm7,TMIN_P90_3D__month_pm7,TMIN_P90_3D__month,month_pm7,month,TMIN,,87272,93161,1.0675,6.75,0.9041,85673,9087,0.9866
TX,window,month vs month_pm7,MHI_P85_2D__month_pm7,MHI_P85_2D__month,month_pm7,month,MHI,,159534,171115,1.0726,7.26,0.9042,157007,16635,0.9915
TX,window,month vs month_pm7,TMAX_P85_3D__month_pm7,TMAX_P85_3D__month,month_pm7,month,TMAX,,115678,124531,1.0765,7.65,0.9071,114251,11707,0.9918
TX,window,month vs month_pm7,TMIN_P90_2D__month_pm7,TMIN_P90_2D__month,month_pm7,month,TMIN,,115028,122363,1.0638,6.38,0.9135,113331,10729,0.9891
TX,window,month vs month_pm7,TMAX_P85_2D__month_pm7,TMAX_P85_2D__month,month_pm7,month,TMAX,,148222,158349,1.0683,6.83,0.9167,146626,13319,0.9918
TX,window,month vs month_pm7,TMIN_P85_3D__month_pm7,TMIN_P85_3D__month,month_pm7,month,TMIN,,138124,145237,1.0515,5.15,0.9254,136192,10977,0.9892
TX,window,month vs month_pm7,TMIN_P85_2D__month_pm7,TMIN_P85_2D__month,month_pm7,month,TMIN,,174134,182251,1.0466,4.66,0.9333,172040,12305,0.9884
