definition_id,MHI_P85_2D,MHI_P90_2D,MHI_P90_3D,MHI_P95_2D,TMAX_P85_2D,TMAX_P85_3D,TMAX_P90_2D,TMAX_P90_3D,TMAX_P95_2D,TMAX_P95_3D,TMIN_P85_2D,TMIN_P85_3D,TMIN_P90_2D,TMIN_P90_3D,TMIN_P95_2D,TMIN_P95_3D
MHI_P85_2D,1.0,0.983478801518208,0.9712331148185276,0.9496777383575866,0.7142948158868158,0.6868519490878474,0.6947057860129496,0.6738117404486926,0.6758731765006778,0.6629829319855214,0.8120718388884889,0.7934711566594258,0.8246351294751866,0.8006898042982217,0.818407606420112,0.7856669592412118
MHI_P90_2D,0.983478801518208,1.0,0.9790902874963947,0.9714671865572594,0.7166025524160303,0.6732902804865067,0.7025781979212321,0.6616037426431914,0.6899912615699099,0.659414262833064,0.7803775917396877,0.7605446804995739,0.8033728302158845,0.7769969636251551,0.812942564698655,0.7734613595145584
MHI_P90_3D,0.9712331148185276,0.9790902874963947,1.0,0.9646237223809939,0.7271447871341257,0.7118308099568557,0.7159316267137954,0.7055979067035675,0.7046634524541086,0.7006431769167324,0.802646716890864,0.7894447961515487,0.8230641384481411,0.8094045276380176,0.837947272061516,0.813916730983913
MHI_P95_2D,0.9496777383575866,0.9714671865572594,0.9646237223809939,1.0,0.7471112263867261,0.7011045028361877,0.7406790209332014,0.6962648640426046,0.734321707531028,0.7051742374038331,0.7475381386134783,0.7249977117283868,0.7815311643395726,0.758557279775048,0.8163777795856335,0.7813502456622736
TMAX_P85_2D,0.7142948158868158,0.7166025524160303,0.7271447871341257,0.7471112263867261,1.0,0.9645146277886059,0.9846525640397742,0.9423081888004765,0.9530927233841939,0.9130671279582921,0.4059929072001072,0.39002136886835037,0.4579141518525909,0.4521745132273652,0.5301478249782364,0.5079194959257564
TMAX_P85_3D,0.6868519490878474,0.6732902804865067,0.7118308099568557,0.7011045028361877,0.9645146277886059,1.0,0.9553073597803118,0.9792152250483145,0.9277596558811808,0.9361558429609185,0.4406940335136033,0.4350516060350949,0.48594825501340083,0.49202003838002417,0.5485814991057573,0.5426886393297006
TMAX_P90_2D,0.6947057860129496,0.7025781979212321,0.7159316267137954,0.7406790209332014,0.9846525640397742,0.9553073597803118,1.0,0.9583875714906994,0.9744187911888529,0.9343331687477683,0.4009654521756223,0.383626514304783,0.45671008115888523,0.4512453712656989,0.5311216591112964,0.5106880772697316
TMAX_P90_3D,0.6738117404486926,0.6616037426431914,0.7055979067035675,0.6962648640426046,0.9423081888004765,0.9792152250483145,0.9583875714906994,1.0,0.9422903979237882,0.9575899183872777,0.44250282039678684,0.43612837510276836,0.48895803242187863,0.4966087861581811,0.5540349095189251,0.5486784607360509
TMAX_P95_2D,0.6758731765006778,0.6899912615699099,0.7046634524541086,0.734321707531028,0.9530927233841939,0.9277596558811808,0.9744187911888529,0.9422903979237882,1.0,0.9637824629933079,0.3989146933074108,0.3804023951669812,0.4590294884054336,0.4525711405102783,0.5350652384748793,0.5106696912442416
TMAX_P95_3D,0.6629829319855214,0.659414262833064,0.7006431769167324,0.7051742374038331,0.9130671279582921,0.9361558429609185,0.9343331687477683,0.9575899183872777,0.9637824629933079,1.0,0.4321511495806824,0.42166076270186986,0.4850448938023674,0.49082076170803823,0.5550001373368513,0.5445499997442634
TMIN_P85_2D,0.8120718388884889,0.7803775917396877,0.802646716890864,0.7475381386134783,0.4059929072001072,0.4406940335136033,0.4009654521756223,0.44250282039678684,0.3989146933074108,0.4321511495806824,1.0,0.9911881191566995,0.9849400016791794,0.9741520628238917,0.9313824677779348,0.9211138099944598
TMIN_P85_3D,0.7934711566594258,0.7605446804995739,0.7894447961515487,0.7249977117283868,0.39002136886835037,0.4350516060350949,0.383626514304783,0.43612837510276836,0.3804023951669812,0.42166076270186986,0.9911881191566995,1.0,0.9747937944607152,0.9765833237852962,0.9179289294173787,0.9200828044527711
TMIN_P90_2D,0.8246351294751866,0.8033728302158845,0.8230641384481411,0.7815311643395726,0.4579141518525909,0.48594825501340083,0.45671008115888523,0.48895803242187863,0.4590294884054336,0.4850448938023674,0.9849400016791794,0.9747937944607152,1.0,0.9872596946928814,0.9640873853476423,0.9469386979719195
TMIN_P90_3D,0.8006898042982217,0.7769969636251551,0.8094045276380176,0.758557279775048,0.4521745132273652,0.49202003838002417,0.4512453712656989,0.4966087861581811,0.4525711405102783,0.49082076170803823,0.9741520628238917,0.9765833237852962,0.9872596946928814,1.0,0.953851026669161,0.9545952698603932
TMIN_P95_2D,0.818407606420112,0.812942564698655,0.837947272061516,0.8163777795856335,0.5301478249782364,0.5485814991057573,0.5311216591112964,0.5540349095189251,0.5350652384748793,0.5550001373368513,0.9313824677779348,0.9179289294173787,0.9640873853476423,0.953851026669161,1.0,0.9817422616868405
TMIN_P95_3D,0.7856669592412118,0.7734613595145584,0.813916730983913,0.7813502456622736,0.5079194959257564,0.5426886393297006,0.5106880772697316,0.5486784607360509,0.5106696912442416,0.5445499997442634,0.9211138099944598,0.9200828044527711,0.9469386979719195,0.9545952698603932,0.9817422616868405,1.0
