pair,county_fips,a_only,shared,b_only,total_classified_by_either,disagreement_rate_pct,county_name,climate_division,temperature_imputation_pct,fully_imputed_county,data_complete
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48099,521,281,0,802,64.96,Coryell,North Central,1.4,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48101,470,170,0,640,73.44,Cottle,Low Rolling Plains,0.3,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48103,496,254,0,750,66.13,Crane,Trans-Pecos,2.8,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48105,452,250,0,702,64.39,Crockett,Edwards Plateau,0.5,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48107,506,217,0,723,69.99,Crosby,High Plains,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48109,474,154,0,628,75.48,Culberson,Trans-Pecos,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48111,493,301,0,794,62.09,Dallam,High Plains,62.4,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48113,414,139,0,553,74.86,Dallas,North Central,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48115,584,282,0,866,67.44,Dawson,High Plains,65.2,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48117,502,254,0,756,66.4,Deaf Smith,High Plains,11.0,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48119,508,212,0,720,70.56,Delta,North Central,100.0,True,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48121,482,178,0,660,73.03,Denton,North Central,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48123,553,405,0,958,57.72,DeWitt,South Central,1.4,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48125,442,167,0,609,72.58,Dickens,Low Rolling Plains,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48127,405,176,0,581,69.71,Dimmit,South Texas,1.6,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48129,576,172,0,748,77.01,Donley,Low Rolling Plains,76.8,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48131,475,258,0,733,64.8,Duval,South Texas,0.7,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48133,608,280,0,888,68.47,Eastland,North Central,100.0,True,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48135,432,225,0,657,65.75,Ector,Trans-Pecos,0.3,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48137,397,132,0,529,75.05,Edwards,Edwards Plateau,13.8,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48139,446,160,0,606,73.6,Ellis,North Central,0.3,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48141,458,228,0,686,66.76,El Paso,Trans-Pecos,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48143,527,260,0,787,66.96,Erath,North Central,0.9,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48145,434,140,0,574,75.61,Falls,North Central,88.7,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48147,484,203,0,687,70.45,Fannin,North Central,0.1,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48149,430,210,0,640,67.19,Fayette,South Central,0.6,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48151,370,151,0,521,71.02,Fisher,Low Rolling Plains,58.6,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48153,383,167,0,550,69.64,Floyd,High Plains,0.0,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48155,489,238,0,727,67.26,Foard,Low Rolling Plains,100.0,True,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48157,544,312,0,856,63.55,Fort Bend,Upper Coast,0.2,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48159,446,168,0,614,72.64,Franklin,East Texas,4.4,False,True
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48161,379,97,0,476,79.62,Freestone,East Texas,100.0,True,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48163,394,178,0,572,68.88,Frio,South Texas,48.8,False,False
MHI_P85_2D_w15_vs_MHI_P95_2D_w15,48165,477,219,0,696,68.53,Gaines,High Plains,0.2,False,True
