state,run_a,run_b,definition_a,definition_b,window_a,window_b,n_axes_differing,axes_differing,single_axis,heatwave_days_a_QA_pooled,heatwave_days_b_QA_pooled,county_dates_shared,county_dates_a_only,county_dates_b_only,jaccard_day_level,dice_day_level,pct_of_a_also_in_b,pct_of_b_also_in_a,count_ratio_b_over_a,county_rank_spearman
TX,TMAX_P85_2D__w05,TMIN_P85_2D__w05,TMAX_P85_2D,TMIN_P85_2D,w05,w05,1,metric,metric,166682,187198,81515,85167,105683,0.2993,0.4607,48.9,43.54,1.1231,0.4123
TX,TMAX_P85_2D__month_pm7,TMIN_P85_2D__month_pm7,TMAX_P85_2D,TMIN_P85_2D,month_pm7,month_pm7,1,metric,metric,148222,174134,74536,73686,99598,0.3008,0.4624,50.29,42.8,1.1748,0.4102
TX,MHI_P95_2D__month,TMAX_P95_2D__month,MHI_P95_2D,TMAX_P95_2D,month,month,1,metric,metric,53273,55270,25357,27916,29913,0.3048,0.4672,47.6,45.88,1.0375,0.6955
TX,MHI_P95_2D__w15,TMAX_P95_2D__w15,MHI_P95_2D,TMAX_P95_2D,w15,w15,1,metric,metric,52786,56576,25776,27010,30800,0.3084,0.4714,48.83,45.56,1.0718,0.7343
TX,TMAX_P85_2D__month,TMIN_P85_2D__month,TMAX_P85_2D,TMIN_P85_2D,month,month,1,metric,metric,158349,182251,80328,78021,101923,0.3086,0.4717,50.73,44.08,1.1509,0.4165
TX,TMAX_P85_3D__month,TMAX_P95_3D__month,TMAX_P85_3D,TMAX_P95_3D,month,month,1,percentile,percentile,124531,38426,38426,86105,0,0.3086,0.4716,30.86,100.0,0.3086,0.9265
TX,MHI_P85_2D__w15,MHI_P95_2D__w15,MHI_P85_2D,MHI_P95_2D,w15,w15,1,percentile,percentile,170894,52786,52786,118108,0,0.3089,0.472,30.89,100.0,0.3089,0.9497
TX,MHI_P85_2D__month,MHI_P95_2D__month,MHI_P85_2D,MHI_P95_2D,month,month,1,percentile,percentile,171115,53273,53273,117842,0,0.3113,0.4748,31.13,100.0,0.3113,0.9537
TX,TMAX_P85_3D__w15,TMAX_P95_3D__w15,TMAX_P85_3D,TMAX_P95_3D,w15,w15,1,percentile,percentile,124812,38876,38876,85936,0,0.3115,0.475,31.15,100.0,0.3115,0.9362
TX,TMIN_P85_3D__w05,TMIN_P95_3D__w05,TMIN_P85_3D,TMIN_P95_3D,w05,w05,1,percentile,percentile,148116,47099,47099,101017,0,0.318,0.4825,31.8,100.0,0.318,0.9249
TX,MHI_P95_2D__w05,TMAX_P95_2D__w05,MHI_P95_2D,TMAX_P95_2D,w05,w05,1,metric,metric,58890,62917,29597,29293,33320,0.321,0.486,50.26,47.04,1.0684,0.7312
TX,TMAX_P85_2D__month_pm7,TMAX_P95_2D__month_pm7,TMAX_P85_2D,TMAX_P95_2D,month_pm7,month_pm7,1,percentile,percentile,148222,48059,48059,100163,0,0.3242,0.4897,32.42,100.0,0.3242,0.9197
TX,TMIN_P85_2D__month_pm7,TMIN_P95_2D__month_pm7,TMIN_P85_2D,TMIN_P95_2D,month_pm7,month_pm7,1,percentile,percentile,174134,56590,56590,117544,0,0.325,0.4905,32.5,100.0,0.325,0.933
TX,MHI_P85_2D__w05,MHI_P95_2D__w05,MHI_P85_2D,MHI_P95_2D,w05,w05,1,percentile,percentile,177271,58890,58890,118381,0,0.3322,0.4987,33.22,100.0,0.3322,0.952
TX,TMAX_P85_3D__w05,TMAX_P95_3D__w05,TMAX_P85_3D,TMAX_P95_3D,w05,w05,1,percentile,percentile,130118,43977,43977,86141,0,0.338,0.5052,33.8,100.0,0.338,0.9449
TX,TMIN_P85_2D__w15,TMIN_P95_2D__w15,TMIN_P85_2D,TMIN_P95_2D,w15,w15,1,percentile,percentile,181444,61496,61496,119948,0,0.3389,0.5063,33.89,100.0,0.3389,0.9314
TX,TMIN_P85_2D__month,TMIN_P95_2D__month,TMIN_P85_2D,TMIN_P95_2D,month,month,1,percentile,percentile,182251,61903,61903,120348,0,0.3397,0.5071,33.97,100.0,0.3397,0.9365
TX,TMAX_P90_3D__month_pm7,MHI_P90_3D__month_pm7,TMAX_P90_3D,MHI_P90_3D,month_pm7,month_pm7,1,metric,metric,72426,71012,36792,35634,34220,0.345,0.513,50.8,51.81,0.9805,0.7286
TX,TMAX_P85_2D__month,TMAX_P95_2D__month,TMAX_P85_2D,TMAX_P95_2D,month,month,1,percentile,percentile,158349,55270,55270,103079,0,0.349,0.5175,34.9,100.0,0.349,0.9369
TX,TMAX_P90_3D__w15,MHI_P90_3D__w15,TMAX_P90_3D,MHI_P90_3D,w15,w15,1,metric,metric,80755,77785,41166,39589,36619,0.3507,0.5193,50.98,52.92,0.9632,0.7056
TX,TMAX_P85_2D__w15,TMAX_P95_2D__w15,TMAX_P85_2D,TMAX_P95_2D,w15,w15,1,percentile,percentile,161004,56576,56576,104428,0,0.3514,0.52,35.14,100.0,0.3514,0.9531
TX,TMAX_P90_3D__month,MHI_P90_3D__month,TMAX_P90_3D,MHI_P90_3D,month,month,1,metric,metric,80451,79886,42290,38161,37596,0.3582,0.5275,52.57,52.94,0.993,0.7196
TX,TMAX_P90_3D__w05,MHI_P90_3D__w05,TMAX_P90_3D,MHI_P90_3D,w05,w05,1,metric,metric,85949,82824,44605,41344,38219,0.3592,0.5286,51.9,53.86,0.9636,0.7061
TX,TMIN_P85_2D__w05,TMIN_P95_2D__w05,TMIN_P85_2D,TMIN_P95_2D,w05,w05,1,percentile,percentile,187198,67525,67525,119673,0,0.3607,0.5302,36.07,100.0,0.3607,0.9443
TX,TMAX_P85_2D__w05,TMAX_P95_2D__w05,TMAX_P85_2D,TMAX_P95_2D,w05,w05,1,percentile,percentile,166682,62917,62917,103765,0,0.3775,0.5481,37.75,100.0,0.3775,0.9503
TX,TMAX_P90_2D__month_pm7,MHI_P90_2D__month_pm7,TMAX_P90_2D,MHI_P90_2D,month_pm7,month_pm7,1,metric,metric,97478,99482,54542,42936,44940,0.383,0.5538,55.95,54.83,1.0206,0.719
TX,TMAX_P90_2D__w15,MHI_P90_2D__w15,TMAX_P90_2D,MHI_P90_2D,w15,w15,1,metric,metric,108359,110243,60557,47802,49686,0.3832,0.554,55.89,54.93,1.0174,0.7026
TX,TMAX_P90_2D__w05,MHI_P90_2D__w05,TMAX_P90_2D,MHI_P90_2D,w05,w05,1,metric,metric,114603,116802,65052,49551,51750,0.391,0.5622,56.76,55.69,1.0192,0.7078
TX,TMAX_P90_2D__month,MHI_P90_2D__month,TMAX_P90_2D,MHI_P90_2D,month,month,1,metric,metric,106769,110334,61590,45179,48744,0.396,0.5674,57.69,55.82,1.0334,0.7277
TX,MHI_P95_2D__month_pm7,TMIN_P95_2D__month_pm7,MHI_P95_2D,TMIN_P95_2D,month_pm7,month_pm7,1,metric,metric,45107,56590,29872,15235,26718,0.4159,0.5875,66.22,52.79,1.2546,0.8052
TX,MHI_P95_2D__w05,TMIN_P95_2D__w05,MHI_P95_2D,TMIN_P95_2D,w05,w05,1,metric,metric,58890,67525,37506,21384,30019,0.4218,0.5934,63.69,55.54,1.1466,0.8209
