state,run_a,run_b,definition_a,definition_b,window_a,window_b,n_axes_differing,axes_differing,single_axis,heatwave_days_a_QA_pooled,heatwave_days_b_QA_pooled,county_dates_shared,county_dates_a_only,county_dates_b_only,jaccard_day_level,dice_day_level,pct_of_a_also_in_b,pct_of_b_also_in_a,count_ratio_b_over_a,county_rank_spearman
TX,MHI_P95_2D__month_pm7,TMIN_P95_2D__w05,MHI_P95_2D,TMIN_P95_2D,month_pm7,w05,2,metric+window,,45107,67525,28790,16317,38735,0.3434,0.5112,63.83,42.64,1.497,0.8114
TX,MHI_P85_2D__w15,MHI_P95_2D__w05,MHI_P85_2D,MHI_P95_2D,w15,w05,2,percentile+window,,170894,58890,58890,112004,0,0.3446,0.5126,34.46,100.0,0.3446,0.954
TX,TMAX_P90_2D__month,MHI_P90_2D__w15,TMAX_P90_2D,MHI_P90_2D,month,w15,2,metric+window,,106769,110243,55622,51147,54621,0.3446,0.5126,52.1,50.45,1.0325,0.7149
TX,TMAX_P90_3D__month_pm7,MHI_P90_3D__month,TMAX_P90_3D,MHI_P90_3D,month_pm7,month,2,metric+window,,72426,79886,39142,33284,40744,0.3459,0.514,54.04,49.0,1.103,0.7136
TX,TMAX_P90_2D__month,MHI_P90_2D__w05,TMAX_P90_2D,MHI_P90_2D,month,w05,2,metric+window,,106769,116802,57503,49266,59299,0.3463,0.5144,53.86,49.23,1.094,0.7184
TX,MHI_P85_2D__month_pm7,MHI_P95_2D__w05,MHI_P85_2D,MHI_P95_2D,month_pm7,w05,2,percentile+window,,159534,58890,56211,103323,2679,0.3465,0.5147,35.23,95.45,0.3691,0.9478
TX,TMAX_P90_2D__month,MHI_P90_3D__month,TMAX_P90_2D,MHI_P90_3D,month,month,2,duration+metric,,106769,79886,48057,58712,31829,0.3467,0.5149,45.01,60.16,0.7482,0.7377
TX,TMAX_P90_2D__w05,MHI_P90_2D__month,TMAX_P90_2D,MHI_P90_2D,w05,month,2,metric+window,,114603,110334,57964,56639,52370,0.3471,0.5154,50.58,52.54,0.9627,0.7156
TX,TMAX_P90_2D__w15,MHI_P90_2D__month,TMAX_P90_2D,MHI_P90_2D,w15,month,2,metric+window,,108359,110334,56526,51833,53808,0.3486,0.5169,52.17,51.23,1.0182,0.7141
TX,MHI_P95_2D__month_pm7,TMIN_P95_3D__month_pm7,MHI_P95_2D,TMIN_P95_3D,month_pm7,month_pm7,2,duration+metric,,45107,39412,21874,23233,17538,0.3492,0.5176,48.49,55.5,0.8737,0.7756
TX,TMAX_P90_3D__month,MHI_P90_3D__month_pm7,TMAX_P90_3D,MHI_P90_3D,month,month_pm7,2,metric+window,,80451,71012,39212,41239,31800,0.3493,0.5178,48.74,55.22,0.8827,0.7368
TX,TMIN_P85_2D__month_pm7,TMIN_P95_2D__w15,TMIN_P85_2D,TMIN_P95_2D,month_pm7,w15,2,percentile+window,,174134,61496,61022,113112,474,0.3495,0.5179,35.04,99.23,0.3532,0.9285
TX,TMAX_P85_2D__month,TMAX_P95_2D__w15,TMAX_P85_2D,TMAX_P95_2D,month,w15,2,percentile+window,,158349,56576,55705,102644,871,0.3499,0.5184,35.18,98.46,0.3573,0.9439
TX,TMIN_P90_2D__w15,TMIN_P95_3D__w15,TMIN_P90_2D,TMIN_P95_3D,w15,w15,2,duration+percentile,,121777,42638,42638,79139,0,0.3501,0.5187,35.01,100.0,0.3501,0.9469
TX,MHI_P95_2D__w15,TMIN_P90_2D__w15,MHI_P95_2D,TMIN_P90_2D,w15,w15,2,metric+percentile,,52786,121777,45297,7489,76480,0.3504,0.519,85.81,37.2,2.307,0.7815
TX,TMAX_P90_3D__w05,MHI_P90_3D__w15,TMAX_P90_3D,MHI_P90_3D,w05,w15,2,metric+window,,85949,77785,42518,43431,35267,0.3508,0.5194,49.47,54.66,0.905,0.7071
TX,TMAX_P85_3D__w15,TMAX_P95_3D__w05,TMAX_P85_3D,TMAX_P95_3D,w15,w05,2,percentile+window,,124812,43977,43977,80835,0,0.3523,0.5211,35.23,100.0,0.3523,0.9495
TX,MHI_P95_2D__w05,TMIN_P95_2D__month_pm7,MHI_P95_2D,TMIN_P95_2D,w05,month_pm7,2,metric+window,,58890,56590,30105,28785,26485,0.3526,0.5214,51.12,53.2,0.9609,0.7977
TX,TMAX_P90_3D__w15,MHI_P90_3D__w05,TMAX_P90_3D,MHI_P90_3D,w15,w05,2,metric+window,,80755,82824,42641,38114,40183,0.3526,0.5214,52.8,51.48,1.0256,0.7055
TX,MHI_P95_2D__w15,TMIN_P95_3D__w15,MHI_P95_2D,TMIN_P95_3D,w15,w15,2,duration+metric,,52786,42638,24894,27892,17744,0.353,0.5218,47.16,58.38,0.8078,0.7814
TX,TMIN_P90_2D__month,TMIN_P95_3D__month,TMIN_P90_2D,TMIN_P95_3D,month,month,2,duration+percentile,,122363,43309,43309,79054,0,0.3539,0.5228,35.39,100.0,0.3539,0.948
TX,TMAX_P85_3D__w15,MHI_P90_3D__w15,TMAX_P85_3D,MHI_P90_3D,w15,w15,2,metric+percentile,,124812,77785,52986,71826,24799,0.3542,0.5231,42.45,68.12,0.6232,0.7118
TX,TMAX_P85_3D__month_pm7,MHI_P90_3D__month_pm7,TMAX_P85_3D,MHI_P90_3D,month_pm7,month_pm7,2,metric+percentile,,115678,71012,48888,66790,22124,0.3548,0.5237,42.26,68.84,0.6139,0.766
TX,TMIN_P85_2D__month_pm7,TMIN_P95_2D__month,TMIN_P85_2D,TMIN_P95_2D,month_pm7,month,2,percentile+window,,174134,61903,61903,112231,0,0.3555,0.5245,35.55,100.0,0.3555,0.9359
TX,TMAX_P85_3D__month_pm7,TMAX_P95_3D__w05,TMAX_P85_3D,TMAX_P95_3D,month_pm7,w05,2,percentile+window,,115678,43977,41868,73810,2109,0.3555,0.5245,36.19,95.2,0.3802,0.944
TX,MHI_P95_2D__w05,TMIN_P95_3D__w05,MHI_P95_2D,TMIN_P95_3D,w05,w05,2,duration+metric,,58890,47099,27828,31062,19271,0.356,0.5251,47.25,59.08,0.7998,0.7857
TX,TMAX_P90_2D__w15,TMAX_P95_3D__w15,TMAX_P90_2D,TMAX_P95_3D,w15,w15,2,duration+percentile,,108359,38876,38876,69483,0,0.3588,0.5281,35.88,100.0,0.3588,0.9343
TX,MHI_P95_2D__month,TMIN_P95_3D__month,MHI_P95_2D,TMIN_P95_3D,month,month,2,duration+metric,,53273,43309,25535,27738,17774,0.3594,0.5288,47.93,58.96,0.813,0.7848
TX,MHI_P95_2D__month,TMIN_P95_2D__w05,MHI_P95_2D,TMIN_P95_2D,month,w05,2,metric+window,,53273,67525,31954,21319,35571,0.3597,0.529,59.98,47.32,1.2675,0.8166
TX,TMAX_P90_2D__month,TMAX_P95_3D__month,TMAX_P90_2D,TMAX_P95_3D,month,month,2,duration+percentile,,106769,38426,38426,68343,0,0.3599,0.5293,35.99,100.0,0.3599,0.9242
TX,MHI_P95_2D__month,TMIN_P90_2D__month,MHI_P95_2D,TMIN_P90_2D,month,month,2,metric+percentile,,53273,122363,46490,6783,75873,0.36,0.5294,87.27,37.99,2.2969,0.7848
TX,MHI_P95_2D__w15,TMIN_P95_2D__month_pm7,MHI_P95_2D,TMIN_P95_2D,w15,month_pm7,2,metric+window,,52786,56590,28999,23787,27591,0.3608,0.5303,54.94,51.24,1.0721,0.7948
TX,TMIN_P95_3D__w15,MHI_P90_3D__w15,TMIN_P95_3D,MHI_P90_3D,w15,w15,2,metric+percentile,,42638,77785,31928,10710,45857,0.3608,0.5303,74.88,41.05,1.8243,0.8139
TX,TMIN_P95_3D__month_pm7,MHI_P90_3D__month_pm7,TMIN_P95_3D,MHI_P90_3D,month_pm7,month_pm7,2,metric+percentile,,39412,71012,29286,10126,41726,0.3609,0.5304,74.31,41.24,1.8018,0.7918
TX,MHI_P95_2D__w05,TMIN_P95_2D__month,MHI_P95_2D,TMIN_P95_2D,w05,month,2,metric+window,,58890,61903,32078,26812,29825,0.3616,0.5311,54.47,51.82,1.0512,0.816
TX,TMIN_P85_2D__month,TMIN_P95_2D__w05,TMIN_P85_2D,TMIN_P95_2D,month,w05,2,percentile+window,,182251,67525,66554,115697,971,0.3632,0.5329,36.52,98.56,0.3705,0.943
TX,TMAX_P85_3D__w05,MHI_P90_3D__w05,TMAX_P85_3D,MHI_P90_3D,w05,w05,2,metric+percentile,,130118,82824,56754,73364,26070,0.3634,0.533,43.62,68.52,0.6365,0.7146
TX,MHI_P95_2D__w05,TMIN_P90_2D__w05,MHI_P95_2D,TMIN_P90_2D,w05,w05,2,metric+percentile,,58890,127906,49811,9079,78095,0.3636,0.5333,84.58,38.94,2.1719,0.7956
TX,TMIN_P95_3D__month,MHI_P90_3D__month,TMIN_P95_3D,MHI_P90_3D,month,month,2,metric+percentile,,43309,79886,32899,10410,46987,0.3643,0.5341,75.96,41.18,1.8446,0.7935
TX,TMIN_P95_3D__w05,MHI_P90_3D__w05,TMIN_P95_3D,MHI_P90_3D,w05,w05,2,metric+percentile,,47099,82824,34749,12350,48075,0.3651,0.5349,73.78,41.96,1.7585,0.8183
TX,MHI_P95_2D__month_pm7,TMIN_P95_2D__w15,MHI_P95_2D,TMIN_P95_2D,month_pm7,w15,2,metric+window,,45107,61496,28558,16549,32938,0.3659,0.5358,63.31,46.44,1.3633,0.8164
TX,MHI_P95_2D__w15,TMIN_P95_2D__month,MHI_P95_2D,TMIN_P95_2D,w15,month,2,metric+window,,52786,61903,30825,21961,31078,0.3676,0.5375,58.4,49.8,1.1727,0.811
TX,TMIN_P90_2D__w05,TMIN_P95_3D__w05,TMIN_P90_2D,TMIN_P95_3D,w05,w05,2,duration+percentile,,127906,47099,47099,80807,0,0.3682,0.5383,36.82,100.0,0.3682,0.9492
TX,TMAX_P85_2D__month_pm7,TMAX_P95_2D__w15,TMAX_P85_2D,TMAX_P95_2D,month_pm7,w15,2,percentile+window,,148222,56576,55179,93043,1397,0.3688,0.5389,37.23,97.53,0.3817,0.9419
TX,TMAX_P85_3D__month,MHI_P90_3D__month,TMAX_P85_3D,MHI_P90_3D,month,month,2,metric+percentile,,124531,79886,55264,69267,24622,0.3705,0.5407,44.38,69.18,0.6415,0.7465
TX,TMIN_P85_2D__w15,TMIN_P95_2D__w05,TMIN_P85_2D,TMIN_P95_2D,w15,w05,2,percentile+window,,181444,67525,67525,113919,0,0.3722,0.5424,37.22,100.0,0.3722,0.944
TX,TMAX_P95_2D__month_pm7,TMAX_P85_3D__month_pm7,TMAX_P95_2D,TMAX_P85_3D,month_pm7,month_pm7,2,duration+percentile,,48059,115678,44411,3648,71267,0.3722,0.5425,92.41,38.39,2.407,0.8952
TX,TMIN_P95_2D__month_pm7,TMIN_P85_3D__month_pm7,TMIN_P95_2D,TMIN_P85_3D,month_pm7,month_pm7,2,duration+percentile,,56590,138124,52866,3724,85258,0.3727,0.543,93.42,38.27,2.4408,0.9145
TX,TMAX_P85_2D__month_pm7,TMAX_P95_2D__month,TMAX_P85_2D,TMAX_P95_2D,month_pm7,month,2,percentile+window,,148222,55270,55270,92952,0,0.3729,0.5432,37.29,100.0,0.3729,0.936
TX,TMAX_P90_3D__w05,TMAX_P95_3D__month_pm7,TMAX_P90_3D,TMAX_P95_3D,w05,month_pm7,2,percentile+window,,85949,32851,32452,53497,399,0.3758,0.5463,37.76,98.79,0.3822,0.9191
TX,TMIN_P85_2D__month_pm7,TMIN_P95_2D__w05,TMIN_P85_2D,TMIN_P95_2D,month_pm7,w05,2,percentile+window,,174134,67525,66100,108034,1425,0.3765,0.5471,37.96,97.89,0.3878,0.9409
TX,MHI_P95_2D__month,TMIN_P95_2D__w15,MHI_P95_2D,TMIN_P95_2D,month,w15,2,metric+window,,53273,61496,31442,21831,30054,0.3773,0.5479,59.02,51.13,1.1544,0.8188
TX,MHI_P95_2D__month_pm7,MHI_P90_2D__w05,MHI_P95_2D,MHI_P90_2D,month_pm7,w05,2,percentile+window,,45107,116802,44429,678,72373,0.3782,0.5488,98.5,38.04,2.5894,0.9512
TX,MHI_P85_2D__month_pm7,TMAX_P90_2D__month_pm7,MHI_P85_2D,TMAX_P90_2D,month_pm7,month_pm7,2,metric+percentile,,159534,97478,70573,88961,26905,0.3785,0.5492,44.24,72.4,0.611,0.7131
TX,MHI_P85_2D__w15,TMAX_P90_2D__w15,MHI_P85_2D,TMAX_P90_2D,w15,w15,2,metric+percentile,,170894,108359,76793,94101,31566,0.3793,0.55,44.94,70.87,0.6341,0.6947
TX,TMAX_P85_2D__month,TMAX_P95_2D__w05,TMAX_P85_2D,TMAX_P95_2D,month,w05,2,percentile+window,,158349,62917,61233,97116,1684,0.3826,0.5535,38.67,97.32,0.3973,0.9498
TX,TMAX_P90_2D__w05,MHI_P90_2D__w15,TMAX_P90_2D,MHI_P90_2D,w05,w15,2,metric+window,,114603,110243,62259,52344,47984,0.3829,0.5538,54.33,56.47,0.962,0.7025
TX,TMAX_P90_2D__w05,TMAX_P95_3D__w05,TMAX_P90_2D,TMAX_P95_3D,w05,w05,2,duration+percentile,,114603,43977,43977,70626,0,0.3837,0.5546,38.37,100.0,0.3837,0.9449
TX,TMAX_P90_2D__month_pm7,MHI_P90_2D__month,TMAX_P90_2D,MHI_P90_2D,month_pm7,month,2,metric+window,,97478,110334,57663,39815,52671,0.384,0.555,59.15,52.26,1.1319,0.7126
TX,TMAX_P90_2D__w15,MHI_P90_2D__w05,TMAX_P90_2D,MHI_P90_2D,w15,w05,2,metric+window,,108359,116802,62512,45847,54290,0.3843,0.5553,57.69,53.52,1.0779,0.7082
TX,TMIN_P95_2D__w15,TMIN_P85_3D__w15,TMIN_P95_2D,TMIN_P85_3D,w15,w15,2,duration+percentile,,61496,143020,56944,4552,86076,0.3859,0.5569,92.6,39.82,2.3257,0.9179
TX,TMIN_P95_2D__month,TMIN_P85_3D__month,TMIN_P95_2D,TMIN_P85_3D,month,month,2,duration+percentile,,61903,145237,57675,4228,87562,0.3859,0.5569,93.17,39.71,2.3462,0.9187
TX,MHI_P85_2D__w05,TMAX_P90_2D__w05,MHI_P85_2D,TMAX_P90_2D,w05,w05,2,metric+percentile,,177271,114603,81543,95728,33060,0.3877,0.5588,46.0,71.15,0.6465,0.6895
TX,TMAX_P90_2D__month,MHI_P90_2D__month_pm7,TMAX_P90_2D,MHI_P90_2D,month,month_pm7,2,metric+window,,106769,99482,57674,49095,41808,0.3882,0.5593,54.02,57.97,0.9317,0.7334
TX,TMIN_P95_2D__w15,MHI_P90_2D__w15,TMIN_P95_2D,MHI_P90_2D,w15,w15,2,metric+percentile,,61496,110243,48052,13444,62191,0.3885,0.5596,78.14,43.59,1.7927,0.8129
TX,TMAX_P85_2D__w15,TMAX_P95_2D__w05,TMAX_P85_2D,TMAX_P95_2D,w15,w05,2,percentile+window,,161004,62917,62917,98087,0,0.3908,0.562,39.08,100.0,0.3908,0.9564
TX,MHI_P85_2D__month,TMAX_P90_2D__month,MHI_P85_2D,TMAX_P90_2D,month,month,2,metric+percentile,,171115,106769,78137,92978,28632,0.3912,0.5624,45.66,73.18,0.624,0.7196
TX,MHI_P85_2D__w15,TMAX_P85_3D__w15,MHI_P85_2D,TMAX_P85_3D,w15,w15,2,duration+metric,,170894,124812,83220,87674,41592,0.3916,0.5629,48.7,66.68,0.7303,0.6869
TX,TMIN_P95_2D__month_pm7,MHI_P90_2D__month_pm7,TMIN_P95_2D,MHI_P90_2D,month_pm7,month_pm7,2,metric+percentile,,56590,99482,44067,12523,55415,0.3934,0.5647,77.87,44.3,1.7579,0.7953
TX,TMIN_P95_2D__w05,MHI_P90_2D__w05,TMIN_P95_2D,MHI_P90_2D,w05,w05,2,metric+percentile,,67525,116802,52161,15364,64641,0.3947,0.566,77.25,44.66,1.7298,0.8146
TX,TMAX_P85_2D__w15,MHI_P90_2D__w15,TMAX_P85_2D,MHI_P90_2D,w15,w15,2,metric+percentile,,161004,110243,76968,84036,33275,0.3962,0.5675,47.81,69.82,0.6847,0.7166
TX,TMAX_P85_2D__month_pm7,MHI_P90_2D__month_pm7,TMAX_P85_2D,MHI_P90_2D,month_pm7,month_pm7,2,metric+percentile,,148222,99482,70351,77871,29131,0.3967,0.568,47.46,70.72,0.6712,0.7565
TX,TMIN_P95_2D__month,MHI_P90_2D__month,TMIN_P95_2D,MHI_P90_2D,month,month,2,metric+percentile,,61903,110334,48946,12957,61388,0.397,0.5684,79.07,44.36,1.7824,0.8051
TX,TMIN_P90_3D__w05,MHI_P90_3D__month_pm7,TMIN_P90_3D,MHI_P90_3D,w05,month_pm7,2,metric+window,,95876,71012,47453,48423,23559,0.3973,0.5687,49.49,66.82,0.7407,0.7927
TX,TMIN_P90_3D__month_pm7,MHI_P90_3D__w05,TMIN_P90_3D,MHI_P90_3D,month_pm7,w05,2,metric+window,,87272,82824,48376,38896,34448,0.3974,0.5688,55.43,58.41,0.949,0.7913
TX,TMAX_P95_2D__month,TMAX_P85_3D__month,TMAX_P95_2D,TMAX_P85_3D,month,month,2,duration+percentile,,55270,124531,51140,4130,73391,0.3975,0.5689,92.53,41.07,2.2531,0.9202
TX,MHI_P85_2D__w05,TMAX_P85_3D__w05,MHI_P85_2D,TMAX_P85_3D,w05,w05,2,duration+metric,,177271,130118,87516,89755,42602,0.398,0.5694,49.37,67.26,0.734,0.6813
TX,MHI_P85_2D__month_pm7,TMAX_P85_3D__month_pm7,MHI_P85_2D,TMAX_P85_3D,month_pm7,month_pm7,2,duration+metric,,159534,115678,78463,81071,37215,0.3988,0.5702,49.18,67.83,0.7251,0.7417
TX,TMAX_P85_2D__month_pm7,TMAX_P95_2D__w05,TMAX_P85_2D,TMAX_P95_2D,month_pm7,w05,2,percentile+window,,148222,62917,60433,87789,2484,0.401,0.5724,40.77,96.05,0.4245,0.9466
TX,TMAX_P95_2D__w15,TMAX_P85_3D__w15,TMAX_P95_2D,TMAX_P85_3D,w15,w15,2,duration+percentile,,56576,124812,51944,4632,72868,0.4013,0.5727,91.81,41.62,2.2061,0.9278
TX,MHI_P85_2D__w05,TMAX_P85_2D__month_pm7,MHI_P85_2D,TMAX_P85_2D,w05,month_pm7,2,metric+window,,177271,148222,93368,83903,54854,0.4022,0.5737,52.67,62.99,0.8361,0.7243
TX,TMIN_P90_3D__month,MHI_P90_3D__w05,TMIN_P90_3D,MHI_P90_3D,month,w05,2,metric+window,,93161,82824,50506,42655,32318,0.4025,0.574,54.21,60.98,0.889,0.8095
TX,TMAX_P90_3D__w15,TMAX_P95_3D__month_pm7,TMAX_P90_3D,TMAX_P95_3D,w15,month_pm7,2,percentile+window,,80755,32851,32646,48109,205,0.4032,0.5747,40.43,99.38,0.4068,0.9272
TX,TMIN_P90_3D__w05,TMIN_P95_3D__month_pm7,TMIN_P90_3D,TMIN_P95_3D,w05,month_pm7,2,percentile+window,,95876,39412,38935,56941,477,0.4041,0.5756,40.61,98.79,0.4111,0.941
TX,MHI_P85_2D__w15,TMAX_P85_2D__month_pm7,MHI_P85_2D,TMAX_P85_2D,w15,month_pm7,2,metric+window,,170894,148222,91877,79017,56345,0.4043,0.5758,53.76,61.99,0.8673,0.7324
TX,MHI_P85_2D__month_pm7,TMAX_P85_2D__w05,MHI_P85_2D,TMAX_P85_2D,month_pm7,w05,2,metric+window,,159534,166682,93929,65605,72753,0.4044,0.5759,58.88,56.35,1.0448,0.7371
TX,TMIN_P90_3D__month_pm7,MHI_P90_3D__w15,TMIN_P90_3D,MHI_P90_3D,month_pm7,w15,2,metric+window,,87272,77785,47563,39709,30222,0.4048,0.5763,54.5,61.15,0.8913,0.7915
TX,MHI_P95_2D__month_pm7,MHI_P90_2D__w15,MHI_P95_2D,MHI_P90_2D,month_pm7,w15,2,percentile+window,,45107,110243,44783,324,65460,0.405,0.5765,99.28,40.62,2.444,0.9564
TX,TMIN_P95_2D__w05,TMIN_P85_3D__w05,TMIN_P95_2D,TMIN_P85_3D,w05,w05,2,duration+percentile,,67525,148116,62161,5364,85955,0.405,0.5765,92.06,41.97,2.1935,0.9299
TX,MHI_P95_2D__w15,TMIN_P95_2D__w05,MHI_P95_2D,TMIN_P95_2D,w15,w05,2,metric+window,,52786,67525,34692,18094,32833,0.4052,0.5767,65.72,51.38,1.2792,0.8127
TX,TMAX_P85_2D__w05,MHI_P90_2D__w05,TMAX_P85_2D,MHI_P90_2D,w05,w05,2,metric+percentile,,166682,116802,81777,84905,35025,0.4054,0.5769,49.06,70.01,0.7007,0.723
TX,TMIN_P90_3D__w05,MHI_P90_3D__month,TMIN_P90_3D,MHI_P90_3D,w05,month,2,metric+window,,95876,79886,50750,45126,29136,0.406,0.5775,52.93,63.53,0.8332,0.7939
TX,MHI_P85_2D__month_pm7,TMAX_P85_2D__w15,MHI_P85_2D,TMAX_P85_2D,month_pm7,w15,2,metric+window,,159534,161004,92673,66861,68331,0.4067,0.5782,58.09,57.56,1.0092,0.7308
TX,TMAX_P90_3D__month,TMAX_P95_3D__month_pm7,TMAX_P90_3D,TMAX_P95_3D,month,month_pm7,2,percentile+window,,80451,32851,32851,47600,0,0.4083,0.5799,40.83,100.0,0.4083,0.9274
TX,MHI_P85_2D__month,TMAX_P85_3D__month,MHI_P85_2D,TMAX_P85_3D,month,month,2,duration+metric,,171115,124531,85751,85364,38780,0.4085,0.5801,50.11,68.86,0.7278,0.7213
TX,TMIN_P90_3D__w15,MHI_P90_3D__month_pm7,TMIN_P90_3D,MHI_P90_3D,w15,month_pm7,2,metric+window,,91133,71012,47024,44109,23988,0.4085,0.58,51.6,66.22,0.7792,0.7845
TX,MHI_P95_2D__month_pm7,MHI_P90_2D__month,MHI_P95_2D,MHI_P90_2D,month_pm7,month,2,percentile+window,,45107,110334,45107,0,65227,0.4088,0.5804,100.0,40.88,2.4461,0.9629
TX,TMIN_P90_3D__month,MHI_P90_3D__w15,TMIN_P90_3D,MHI_P90_3D,month,w15,2,metric+window,,93161,77785,49613,43548,28172,0.4089,0.5805,53.26,63.78,0.835,0.8098
TX,MHI_P95_2D__month_pm7,TMIN_P95_2D__month,MHI_P95_2D,TMIN_P95_2D,month_pm7,month,2,metric+window,,45107,61903,31155,13952,30748,0.4107,0.5823,69.07,50.33,1.3724,0.8114
TX,TMAX_P85_2D__month,MHI_P90_2D__month,TMAX_P85_2D,MHI_P90_2D,month,month,2,metric+percentile,,158349,110334,78297,80052,32037,0.4113,0.5828,49.45,70.96,0.6968,0.7524
TX,MHI_P85_2D__w05,TMAX_P85_2D__month,MHI_P85_2D,TMAX_P85_2D,w05,month,2,metric+window,,177271,158349,97859,79412,60490,0.4116,0.5832,55.2,61.8,0.8933,0.7289
TX,MHI_P85_2D__w15,TMAX_P85_2D__month,MHI_P85_2D,TMAX_P85_2D,w15,month,2,metric+window,,170894,158349,96184,74710,62165,0.4127,0.5843,56.28,60.74,0.9266,0.7367
TX,TMIN_P85_3D__month_pm7,MHI_P90_3D__month_pm7,TMIN_P85_3D,MHI_P90_3D,month_pm7,month_pm7,2,metric+percentile,,138124,71012,61123,77001,9889,0.413,0.5845,44.25,86.07,0.5141,0.7565
TX,TMAX_P90_2D__w05,TMAX_P95_2D__month_pm7,TMAX_P90_2D,TMAX_P95_2D,w05,month_pm7,2,percentile+window,,114603,48059,47552,67051,507,0.4131,0.5847,41.49,98.95,0.4194,0.9448
TX,MHI_P85_2D__month,TMAX_P85_2D__w05,MHI_P85_2D,TMAX_P85_2D,month,w05,2,metric+window,,171115,166682,98865,72250,67817,0.4138,0.5854,57.78,59.31,0.9741,0.7259
TX,TMIN_P90_3D__w15,MHI_P90_3D__month,TMIN_P90_3D,MHI_P90_3D,w15,month,2,metric+window,,91133,79886,50091,41042,29795,0.4142,0.5858,54.96,62.7,0.8766,0.7836
TX,MHI_P85_2D__month,TMAX_P85_2D__w15,MHI_P85_2D,TMAX_P85_2D,month,w15,2,metric+window,,171115,161004,97297,73818,63707,0.4143,0.5859,56.86,60.43,0.9409,0.7224
TX,MHI_P95_2D__w05,TMIN_P95_2D__w15,MHI_P95_2D,TMIN_P95_2D,w05,w15,2,metric+window,,58890,61496,35374,23516,26122,0.4161,0.5877,60.07,57.52,1.0443,0.8219
TX,TMIN_P90_2D__w15,MHI_P90_3D__w15,TMIN_P90_2D,MHI_P90_3D,w15,w15,2,duration+metric,,121777,77785,58995,62782,18790,0.4197,0.5912,48.45,75.84,0.6387,0.8231
TX,TMIN_P90_2D__month_pm7,MHI_P90_3D__month_pm7,TMIN_P90_2D,MHI_P90_3D,month_pm7,month_pm7,2,duration+metric,,115028,71012,55199,59829,15813,0.4219,0.5934,47.99,77.73,0.6173,0.7998
TX,TMIN_P90_2D__w05,MHI_P90_3D__w05,TMIN_P90_2D,MHI_P90_3D,w05,w05,2,duration+metric,,127906,82824,62595,65311,20229,0.4226,0.5941,48.94,75.58,0.6475,0.8325
TX,TMIN_P90_3D__month,TMIN_P95_3D__month_pm7,TMIN_P90_3D,TMIN_P95_3D,month,month_pm7,2,percentile+window,,93161,39412,39412,53749,0,0.4231,0.5946,42.31,100.0,0.4231,0.9396
TX,TMIN_P85_3D__w15,MHI_P90_3D__w15,TMIN_P85_3D,MHI_P90_3D,w15,w15,2,metric+percentile,,143020,77785,65655,77365,12130,0.4232,0.5947,45.91,84.41,0.5439,0.7894
TX,TMAX_P95_2D__w05,TMAX_P85_3D__w05,TMAX_P95_2D,TMAX_P85_3D,w05,w05,2,duration+percentile,,62917,130118,57501,5416,72617,0.4243,0.5958,91.39,44.19,2.0681,0.9228
TX,MHI_P95_2D__month,TMIN_P95_2D__month_pm7,MHI_P95_2D,TMIN_P95_2D,month,month_pm7,2,metric+window,,53273,56590,32745,20528,23845,0.4246,0.5961,61.47,57.86,1.0623,0.8006
TX,TMAX_P90_3D__w05,TMAX_P95_3D__month,TMAX_P90_3D,TMAX_P95_3D,w05,month,2,percentile+window,,85949,38426,37124,48825,1302,0.4255,0.597,43.19,96.61,0.4471,0.9503
TX,TMAX_P95_2D__w05,TMAX_P95_3D__month_pm7,TMAX_P95_2D,TMAX_P95_3D,w05,month_pm7,2,duration+window,,62917,32851,28649,34268,4202,0.4268,0.5983,45.53,87.21,0.5221,0.924
TX,MHI_P95_2D__month,MHI_P90_2D__w05,MHI_P95_2D,MHI_P90_2D,month,w05,2,percentile+window,,53273,116802,50909,2364,65893,0.4272,0.5987,95.56,43.59,2.1925,0.9705
TX,MHI_P90_2D__w15,TMIN_P90_3D__w15,MHI_P90_2D,TMIN_P90_3D,w15,w15,2,duration+metric,,110243,91133,60331,49912,30802,0.4277,0.5992,54.73,66.2,0.8267,0.777
TX,TMIN_P85_3D__w05,MHI_P90_3D__w05,TMIN_P85_3D,MHI_P90_3D,w05,w05,2,metric+percentile,,148116,82824,69202,78914,13622,0.4279,0.5993,46.72,83.55,0.5592,0.797
TX,MHI_P90_2D__w05,TMIN_P90_3D__w05,MHI_P90_2D,TMIN_P90_3D,w05,w05,2,duration+metric,,116802,95876,63784,53018,32092,0.4284,0.5998,54.61,66.53,0.8208,0.7946
TX,TMIN_P90_2D__w05,MHI_P90_2D__month_pm7,TMIN_P90_2D,MHI_P90_2D,w05,month_pm7,2,metric+window,,127906,99482,68394,59512,31088,0.4302,0.6016,53.47,68.75,0.7778,0.7917
TX,TMIN_P90_3D__w15,TMIN_P95_3D__month_pm7,TMIN_P90_3D,TMIN_P95_3D,w15,month_pm7,2,percentile+window,,91133,39412,39274,51859,138,0.4303,0.6017,43.1,99.65,0.4325,0.9529
TX,TMIN_P85_3D__month,MHI_P90_3D__month,TMIN_P85_3D,MHI_P90_3D,month,month,2,metric+percentile,,145237,79886,67913,77324,11973,0.432,0.6033,46.76,85.01,0.55,0.7627
