pair,county_fips,a_only,b_only,shared,total_classified_by_either,disagreement_rate_pct,county_name,climate_division,temperature_imputation_pct,fully_imputed_county,data_complete
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48399,82,83,233,398,41.46,Runnels,Low Rolling Plains,0.1,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48401,70,83,273,426,35.92,Rusk,East Texas,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48403,67,96,464,627,26.0,Sabine,East Texas,1.2,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48405,83,90,328,501,34.53,San Augustine,East Texas,9.2,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48407,88,104,374,566,33.92,San Jacinto,East Texas,100.0,True,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48409,75,80,400,555,27.93,San Patricio,South Central,6.4,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48411,79,97,234,410,42.93,San Saba,Edwards Plateau,0.1,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48413,97,100,264,461,42.73,Schleicher,Edwards Plateau,1.1,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48415,147,103,359,609,41.05,Scurry,Low Rolling Plains,0.3,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48417,66,72,243,381,36.22,Shackelford,North Central,0.1,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48419,61,96,306,463,33.91,Shelby,East Texas,54.8,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48421,158,122,645,925,30.27,Sherman,High Plains,58.9,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48423,79,89,349,517,32.5,Smith,East Texas,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48425,69,70,227,366,37.98,Somervell,North Central,18.3,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48427,109,83,523,715,26.85,Starr,South Texas,2.1,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48429,73,94,256,423,39.48,Stephens,North Central,1.7,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48431,94,94,249,437,43.02,Sterling,Edwards Plateau,72.4,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48433,79,103,287,469,38.81,Stonewall,Low Rolling Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48435,100,108,277,485,42.89,Sutton,Edwards Plateau,67.7,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48437,107,98,314,519,39.5,Swisher,High Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48439,137,89,335,561,40.29,Tarrant,North Central,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48441,85,92,250,427,41.45,Taylor,Low Rolling Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48443,165,127,608,900,32.44,Terrell,Trans-Pecos,2.6,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48445,97,99,350,546,35.9,Terry,High Plains,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48447,77,94,198,369,46.34,Throckmorton,North Central,41.0,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48449,110,113,471,694,32.13,Titus,East Texas,2.4,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48451,132,118,383,633,39.49,Tom Green,Edwards Plateau,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48453,62,75,184,321,42.68,Travis,South Central,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48455,65,106,268,439,38.95,Trinity,East Texas,100.0,True,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48457,65,100,469,634,26.03,Tyler,East Texas,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48459,112,125,358,595,39.83,Upshur,East Texas,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48461,115,96,318,529,39.89,Upton,Edwards Plateau,13.9,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48463,74,70,281,425,33.88,Uvalde,Edwards Plateau,2.8,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48465,153,135,597,885,32.54,Val Verde,Edwards Plateau,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48467,102,65,287,454,36.78,Van Zandt,East Texas,1.7,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48469,93,97,346,536,35.45,Victoria,Upper Coast,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48471,63,89,287,439,34.62,Walker,East Texas,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48473,100,114,476,690,31.01,Waller,East Texas,100.0,True,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48475,138,106,346,590,41.36,Ward,Trans-Pecos,0.4,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48477,69,74,356,499,28.66,Washington,South Central,0.3,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48479,96,74,447,617,27.55,Webb,South Texas,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48481,68,99,376,543,30.76,Wharton,Upper Coast,0.0,False,True
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48483,138,121,319,578,44.81,Wheeler,Low Rolling Plains,67.4,False,False
MHI_P90_2D_w15_vs_MHI_P90_2D_month,48485,73,84,167,324,48.46,Wichita,Low Rolling Plains,0.0,False,True
