definition_id,MHI_P85_2D,MHI_P90_2D,MHI_P90_3D,MHI_P95_2D,TMAX_P85_2D,TMAX_P85_3D,TMAX_P90_2D,TMAX_P90_3D,TMAX_P95_2D,TMAX_P95_3D,TMIN_P85_2D,TMIN_P85_3D,TMIN_P90_2D,TMIN_P90_3D,TMIN_P95_2D,TMIN_P95_3D
MHI_P85_2D,1.0,0.9843056424328753,0.968841531529036,0.9559746641877933,0.7017531027078605,0.6895064523892898,0.6904682996482593,0.6857416608968371,0.6973509127199401,0.6935698569111933,0.8105446853298542,0.802611207259014,0.8144042370204497,0.7965969989468644,0.8010806725787989,0.7660156078291026
MHI_P90_2D,0.9843056424328753,1.0,0.9774058033315525,0.9710460215846998,0.6867245153527392,0.6614144466400329,0.6799325964816487,0.6578109076803483,0.6940594365789267,0.6757453339273142,0.7802560108682516,0.7719097359447143,0.7902214697240592,0.7706620563382106,0.7883598672110609,0.7477066707291852
MHI_P90_3D,0.968841531529036,0.9774058033315525,1.0,0.9676739583133691,0.7066642525589172,0.7072763263166012,0.7034806673026158,0.7087724605736456,0.7167550924099153,0.7231587271606648,0.7993302172921437,0.7956373287649487,0.8102574198457498,0.8024652170471012,0.819528020545482,0.7939577782936899
MHI_P95_2D,0.9559746641877933,0.9710460215846998,0.9676739583133691,1.0,0.7110892172449417,0.6845414489157102,0.710394919796649,0.6872839976175498,0.7218021619136508,0.7079953545459525,0.7619224577710391,0.7522548172785177,0.7750474445127439,0.7603202793399086,0.7941674486454292,0.7631209753642015
TMAX_P85_2D,0.7017531027078605,0.6867245153527392,0.7066642525589172,0.7110892172449417,1.0,0.9642177933504626,0.9809629595040281,0.9426598535691886,0.9519019857054574,0.9170562244404712,0.4138910511473745,0.4109528797704361,0.446485946134048,0.4490922226014172,0.4985544520224135,0.4843802633107001
TMAX_P85_3D,0.6895064523892898,0.6614144466400329,0.7072763263166012,0.6845414489157102,0.9642177933504626,1.0,0.9544149035008077,0.9797162909416232,0.9297675343657724,0.9420908978232981,0.46204881238093276,0.46585140976773126,0.490689761357079,0.5023492472346073,0.5346572250928273,0.5330907122692176
TMAX_P90_2D,0.6904682996482593,0.6799325964816487,0.7034806673026158,0.710394919796649,0.9809629595040281,0.9544149035008077,1.0,0.9593490428550695,0.9726576912727793,0.9378936818458369,0.4201669631256091,0.416965535889288,0.45417409985466983,0.4591744264748316,0.508416459416698,0.5010662964791073
TMAX_P90_3D,0.6857416608968371,0.6578109076803483,0.7087724605736456,0.6872839976175498,0.9426598535691886,0.9797162909416232,0.9593490428550695,1.0,0.9407574712089295,0.9599348164973621,0.47066310813234896,0.4739131083024362,0.49863979340327647,0.5102796151218856,0.5453676879619127,0.5472672916810448
TMAX_P95_2D,0.6973509127199401,0.6940594365789267,0.7167550924099153,0.7218021619136508,0.9519019857054574,0.9297675343657724,0.9726576912727793,0.9407574712089295,1.0,0.9628225326187422,0.44518063938980224,0.44090363994616194,0.4814005742835708,0.48379222643083186,0.5357334922644648,0.5241526108774307
TMAX_P95_3D,0.6935698569111933,0.6757453339273142,0.7231587271606648,0.7079953545459525,0.9170562244404712,0.9420908978232981,0.9378936818458369,0.9599348164973621,0.9628225326187422,1.0,0.4772914967420832,0.47655772035561156,0.5082370112500224,0.5198314886231239,0.5610534501287816,0.559626809499885
TMIN_P85_2D,0.8105446853298542,0.7802560108682516,0.7993302172921437,0.7619224577710391,0.4138910511473745,0.46204881238093276,0.4201669631256091,0.47066310813234896,0.44518063938980224,0.4772914967420832,1.0,0.9922524546627428,0.9891988784388447,0.9778485756639866,0.9463751227494143,0.9287272705125993
TMIN_P85_3D,0.802611207259014,0.7719097359447143,0.7956373287649487,0.7522548172785177,0.4109528797704361,0.46585140976773126,0.416965535889288,0.4739131083024362,0.44090363994616194,0.47655772035561156,0.9922524546627428,1.0,0.9820500224418955,0.9810339938838062,0.9384417896776619,0.930787014407266
TMIN_P90_2D,0.8144042370204497,0.7902214697240592,0.8102574198457498,0.7750474445127439,0.446485946134048,0.490689761357079,0.45417409985466983,0.49863979340327647,0.4814005742835708,0.5082370112500224,0.9891988784388447,0.9820500224418955,1.0,0.9886280926854901,0.9646743609905684,0.9440110285294857
TMIN_P90_3D,0.7965969989468644,0.7706620563382106,0.8024652170471012,0.7603202793399086,0.4490922226014172,0.5023492472346073,0.4591744264748316,0.5102796151218856,0.48379222643083186,0.5198314886231239,0.9778485756639866,0.9810339938838062,0.9886280926854901,1.0,0.9618137347552664,0.9562873361887145
TMIN_P95_2D,0.8010806725787989,0.7883598672110609,0.819528020545482,0.7941674486454292,0.4985544520224135,0.5346572250928273,0.508416459416698,0.5453676879619127,0.5357334922644648,0.5610534501287816,0.9463751227494143,0.9384417896776619,0.9646743609905684,0.9618137347552664,1.0,0.9809113860438716
TMIN_P95_3D,0.7660156078291026,0.7477066707291852,0.7939577782936899,0.7631209753642015,0.4843802633107001,0.5330907122692176,0.5010662964791073,0.5472672916810448,0.5241526108774307,0.559626809499885,0.9287272705125993,0.930787014407266,0.9440110285294857,0.9562873361887145,0.9809113860438716,1.0
