pair,month,a_only,shared,b_only,disagreement_rate_pct
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,1,2540,3171,0,44.48
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,2,3237,5966,0,35.17
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,3,2880,5263,0,35.37
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,4,2807,1588,0,63.87
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,5,1467,7143,0,17.04
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,6,1548,6918,0,18.28
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,7,1326,9144,0,12.66
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,8,1608,10820,0,12.94
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,9,1931,7452,0,20.58
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,10,2948,8975,0,24.73
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,11,2681,5100,0,34.46
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,12,2631,9215,0,22.21
