pair,county_fips,a_only,shared,b_only,total_classified_by_either,disagreement_rate_pct,county_name,climate_division,temperature_imputation_pct,fully_imputed_county,data_complete
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48001,70,357,0,427,16.39,Anderson,East Texas,0.0,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48003,134,243,0,377,35.54,Andrews,High Plains,3.2,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48005,124,338,0,462,26.84,Angelina,East Texas,0.0,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48007,172,747,0,919,18.72,Aransas,South Central,0.2,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48009,76,206,0,282,26.95,Archer,North Central,89.4,False,False
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48011,160,363,0,523,30.59,Armstrong,High Plains,100.0,True,False
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48013,98,371,0,469,20.9,Atascosa,South Texas,0.0,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48015,86,249,0,335,25.67,Austin,South Central,23.9,False,False
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48017,102,237,0,339,30.09,Bailey,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48019,114,361,0,475,24.0,Bandera,Edwards Plateau,16.4,False,False
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48021,116,370,0,486,23.87,Bastrop,South Central,0.3,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48023,114,273,0,387,29.46,Baylor,Low Rolling Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48025,128,337,0,465,27.53,Bee,South Central,4.0,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48027,104,381,0,485,21.44,Bell,North Central,0.1,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48029,120,420,0,540,22.22,Bexar,South Central,0.0,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48031,108,415,0,523,20.65,Blanco,Edwards Plateau,19.2,False,False
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48033,124,199,0,323,38.39,Borden,Low Rolling Plains,23.2,False,False
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48035,54,227,0,281,19.22,Bosque,North Central,60.6,False,False
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48037,80,294,0,374,21.39,Bowie,East Texas,0.0,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48039,138,461,0,599,23.04,Brazoria,Upper Coast,0.0,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48041,120,331,0,451,26.61,Brazos,East Texas,0.1,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48043,78,323,0,401,19.45,Brewster,Trans-Pecos,0.0,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48045,162,256,0,418,38.76,Briscoe,High Plains,0.0,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48047,64,88,0,152,42.11,Brooks,South Texas,70.2,False,False
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48049,118,265,0,383,30.81,Brown,North Central,9.7,False,True
TMAX_P90_2D_w15_vs_TMAX_P90_3D_w15,48051,94,290,0,384,24.48,Burleson,South Central,18.9,False,False
