year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,4145,238,1095
2016,7797,254,1774
2017,6924,253,1695
2018,6094,242,1380
2019,8259,254,1685
2020,6732,249,1480
2021,6060,254,1403
2022,11054,254,2248
2023,14204,254,2706
2024,11727,254,2646
2025,8137,254,1644
