year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,3924,240,956
2016,8544,254,1835
2017,7211,253,1695
2018,7035,249,1442
2019,8045,251,1693
2020,6349,249,1377
2021,6959,254,1678
2022,11137,254,2231
2023,14291,254,2733
2024,10987,254,2484
2025,8679,254,1783
