year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,3422,234,849
2016,7898,254,1723
2017,6524,253,1539
2018,6553,249,1366
2019,7417,250,1584
2020,6145,248,1313
2021,6475,254,1593
2022,10729,254,2137
2023,13678,254,2570
2024,10422,254,2345
2025,8009,253,1685
