year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,4727,243,1239
2016,8208,254,1809
2017,7245,254,1769
2018,6615,243,1506
2019,8694,254,1735
2020,7193,251,1608
2021,6370,254,1497
2022,11543,254,2337
2023,14312,254,2700
2024,12453,254,2830
2025,8516,254,1695
