year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,3991,242,943
2016,3753,243,1018
2017,5503,254,1407
2018,5264,251,1044
2019,3419,240,724
2020,4574,252,1082
2021,4516,250,1069
2022,10589,252,2124
2023,15171,254,2362
2024,7288,253,1600
2025,8358,254,1833
