year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,4504,245,1056
2016,5302,249,1306
2017,5822,253,1500
2018,5563,248,1086
2019,4143,244,914
2020,5305,250,1266
2021,5169,252,1174
2022,11477,253,2236
2023,15744,254,2652
2024,8810,254,1940
2025,8916,254,1779
