year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,4972,250,1148
2016,5879,250,1416
2017,6183,254,1559
2018,5965,249,1166
2019,4711,245,1067
2020,5932,253,1404
2021,5509,253,1250
2022,12102,253,2295
2023,15960,254,2686
2024,9393,254,1997
2025,9343,254,1856
