year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,4751,246,1135
2016,4312,248,1161
2017,6063,254,1523
2018,5872,252,1144
2019,4039,244,848
2020,5048,251,1184
2021,5191,253,1213
2022,11453,252,2267
2023,15777,254,2478
2024,8311,253,1770
2025,9634,254,2029
