county_fips,calendar_month,analysis_year,threshold_value_f,n_reference_values,definition_id,percentile,window_method,threshold_quality_flag
48001,1,2015,64.758802674375,1116,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,2,2015,67.91838023620001,1017,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,3,2015,72.445820789,1116,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,4,2015,77.14772099585,1080,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,5,2015,85.4559552099055,1116,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,6,2015,92.34032106333254,1080,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,7,2015,96.4358394676984,1116,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,8,2015,96.66145100057206,1116,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,9,2015,91.00144053472872,1080,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,10,2015,80.03691561875,1116,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,11,2015,72.35124093945001,1080,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,12,2015,66.760898179875,1116,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,1,2016,64.48345602655002,1147,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,2,2016,67.86656425959998,1045,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,3,2016,72.4238868078,1147,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,4,2016,76.94368791779999,1110,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,5,2016,85.41316876327352,1147,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,6,2016,92.30997882941048,1110,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,7,2016,96.34476210791986,1147,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,8,2016,96.66085810442618,1147,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,9,2016,91.0104087425098,1110,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,10,2016,80.02436971499999,1147,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,11,2016,72.33658574215,1110,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,12,2016,66.8995210057,1147,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,1,2017,64.375238442225,1178,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,2,2017,67.75990087569998,1074,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,3,2017,72.4214108431,1178,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,4,2017,76.91275655980002,1140,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,5,2017,85.40125232090149,1178,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,6,2017,92.3118241919498,1140,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,7,2017,96.85424197983015,1178,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
48001,8,2017,96.80726670923312,1178,relMeanHI_p95_2d_walkforward,95,calendar-month bucket,ok
