event_label,county_fips,county_name,start_date,end_date,event_duration_days,peak_mean_hi_f,peak_day_date,peak_day_tmax_f,peak_day_tmean_f,peak_day_rmin_pct,peak_day_threshold_f,tmax_max_f,tmean_mean_f,peak_exceedance_f,cumulative_exceedance_f,n_imputed_days,event_contains_imputed_day,onset_year
48007_2025_011,48007,Aransas,2025-10-20,2025-10-21,2.0,92.62,2025-10-21,92.7,84.3,54.4,88.1,92.72,83.93,4.51,6.63,0,False,2025
48007_2025_012,48007,Aransas,2025-11-17,2025-11-22,6.0,84.53,2025-11-21,86.7,81.1,54.7,76.6,86.72,79.78,7.9,27.72,0,False,2025
48007_2025_013,48007,Aransas,2025-11-24,2025-11-25,2.0,79.2,2025-11-24,82.8,78.4,57.5,76.4,84.8,77.99,2.84,5.28,0,False,2025
48007_2025_014,48007,Aransas,2025-12-21,2025-12-28,8.0,75.96,2025-12-28,81.7,75.2,50.7,70.7,81.74,74.06,5.3,25.25,0,False,2025
48009_2016_001,48009,Archer,2016-02-19,2016-02-21,3.0,69.12,2016-02-20,80.8,69.0,51.5,63.1,81.08,66.97,6.02,11.82,3,True,2016
48009_2016_002,48009,Archer,2016-07-08,2016-07-09,2.0,103.71,2016-07-09,100.0,89.1,41.7,95.3,100.04,89.02,8.4,13.47,0,False,2016
48009_2016_003,48009,Archer,2016-07-14,2016-07-15,2.0,101.5,2016-07-14,102.0,90.0,29.4,96.3,102.02,88.29,5.22,5.47,0,False,2016
48009_2016_004,48009,Archer,2016-08-08,2016-08-09,2.0,98.19,2016-08-08,104.0,92.0,26.8,97.5,104.0,90.28,0.74,1.31,0,False,2016
48009_2016_005,48009,Archer,2016-10-16,2016-10-18,3.0,79.32,2016-10-18,91.9,78.4,41.9,75.4,93.02,77.33,3.92,6.73,0,False,2016
48009_2016_006,48009,Archer,2016-11-01,2016-11-03,3.0,76.07,2016-11-01,90.0,76.0,34.2,72.1,89.96,74.51,3.95,9.08,0,False,2016
48009_2017_001,48009,Archer,2017-02-07,2017-02-08,2.0,63.26,2017-02-07,82.0,65.5,14.9,59.2,82.04,63.23,4.07,4.85,0,False,2017
48009_2017_002,48009,Archer,2017-02-11,2017-02-12,2.0,73.52,2017-02-12,95.0,74.0,33.4,60.5,95.0,68.04,12.99,13.08,0,False,2017
48009_2017_003,48009,Archer,2017-03-18,2017-03-21,4.0,77.3,2017-03-21,91.0,77.0,27.3,70.3,91.04,74.53,6.96,17.05,0,False,2017
48009_2019_001,48009,Archer,2019-02-03,2019-02-06,4.0,63.74,2019-02-06,73.8,64.0,57.0,59.2,76.38,63.31,4.5,14.54,4,True,2019
48009_2019_002,48009,Archer,2019-08-26,2019-08-27,2.0,96.96,2019-08-26,102.4,88.6,25.5,95.2,102.37,86.05,1.76,2.29,2,True,2019
48009_2019_003,48009,Archer,2019-09-28,2019-10-02,5.0,85.8,2019-09-29,92.3,82.8,39.5,84.4,93.88,82.6,1.84,5.31,5,True,2019
48009_2020_001,48009,Archer,2020-03-26,2020-03-27,2.0,74.73,2020-03-27,84.9,74.4,48.4,71.3,89.47,73.73,3.47,4.58,2,True,2020
48009_2020_002,48009,Archer,2020-05-03,2020-05-04,2.0,84.52,2020-05-04,96.8,82.4,21.7,79.6,96.84,82.03,4.91,9.0,2,True,2020
48009_2021_001,48009,Archer,2021-12-14,2021-12-17,4.0,67.92,2021-12-15,78.6,68.3,38.6,57.1,78.63,63.17,10.77,21.1,4,True,2021
48009_2021_002,48009,Archer,2021-12-24,2021-12-29,6.0,65.35,2021-12-24,83.2,67.2,15.7,56.1,83.17,64.75,9.28,37.41,6,True,2021
48009_2022_001,48009,Archer,2022-04-21,2022-04-22,2.0,78.62,2022-04-21,91.2,78.7,29.4,76.9,91.25,78.36,1.76,2.74,2,True,2022
48009_2022_002,48009,Archer,2022-05-08,2022-05-10,3.0,90.2,2022-05-10,96.1,85.1,32.3,81.9,98.68,85.18,8.28,15.8,3,True,2022
48009_2022_003,48009,Archer,2022-11-09,2022-11-10,2.0,71.69,2022-11-09,79.7,71.9,43.8,69.5,79.71,70.81,2.16,3.2,2,True,2022
48009_2023_001,48009,Archer,2023-01-01,2023-01-02,2.0,63.81,2023-01-02,76.5,64.4,38.5,58.0,76.54,63.22,5.84,7.65,2,True,2023
48009_2023_002,48009,Archer,2023-01-10,2023-01-11,2.0,61.69,2023-01-11,81.5,64.1,9.7,56.0,81.47,61.58,5.7,5.75,2,True,2023
48009_2023_003,48009,Archer,2023-01-16,2023-01-18,3.0,59.0,2023-01-16,72.3,61.0,25.1,56.1,72.91,60.06,2.9,5.5,3,True,2023
48009_2023_004,48009,Archer,2023-02-21,2023-02-22,2.0,67.11,2023-02-22,81.1,67.6,28.1,63.0,82.59,67.85,4.09,8.04,2,True,2023
48009_2023_005,48009,Archer,2023-06-20,2023-06-21,2.0,99.05,2023-06-21,100.7,88.5,36.8,93.1,104.02,88.93,5.98,7.68,2,True,2023
48009_2023_006,48009,Archer,2023-09-23,2023-09-24,2.0,90.88,2023-09-24,98.8,85.6,34.9,87.2,99.77,86.08,3.68,7.03,2,True,2023
48009_2023_007,48009,Archer,2023-11-07,2023-11-08,2.0,74.53,2023-11-08,88.8,74.8,25.2,70.0,88.84,73.94,4.48,6.5,2,True,2023
48009_2024_001,48009,Archer,2024-02-21,2024-02-22,2.0,64.45,2024-02-22,79.2,65.3,30.3,63.4,83.14,65.14,1.07,1.52,2,True,2024
48009_2024_002,48009,Archer,2024-02-26,2024-02-27,2.0,70.25,2024-02-27,85.8,70.5,28.7,63.9,88.51,70.33,6.4,11.64,2,True,2024
48009_2024_003,48009,Archer,2024-03-03,2024-03-04,2.0,67.91,2024-03-04,81.7,68.7,25.8,65.7,82.09,67.97,2.19,2.65,2,True,2024
48009_2024_004,48009,Archer,2024-06-26,2024-06-27,2.0,96.39,2024-06-27,99.8,87.9,36.4,94.9,99.82,88.4,1.52,3.0,2,True,2024
48009_2024_005,48009,Archer,2024-10-23,2024-10-24,2.0,75.82,2024-10-24,91.1,76.3,22.4,74.3,91.31,76.2,1.48,2.42,2,True,2024
