event_label,county_fips,county_name,start_date,end_date,event_duration_days,peak_mean_hi_f,peak_day_date,peak_day_tmax_f,peak_day_tmean_f,peak_day_rmin_pct,peak_day_threshold_f,tmax_max_f,tmean_mean_f,peak_exceedance_f,cumulative_exceedance_f,n_imputed_days,event_contains_imputed_day,onset_year
48089_2023_001,48089,Colorado,2023-01-16,2023-01-18,3.0,69.51,2023-01-18,77.3,69.5,43.2,66.8,78.98,68.96,2.69,7.08,0,False,2023
48089_2023_002,48089,Colorado,2023-02-21,2023-02-23,3.0,78.09,2023-02-23,84.7,77.2,48.5,71.6,84.68,75.78,6.51,13.55,0,False,2023
48089_2023_003,48089,Colorado,2023-02-27,2023-02-28,2.0,74.76,2023-02-28,84.3,73.6,72.4,72.0,84.26,73.81,2.73,3.96,0,False,2023
48089_2023_004,48089,Colorado,2023-03-07,2023-03-09,3.0,76.56,2023-03-08,86.0,76.3,42.0,74.6,86.0,76.0,2.16,5.66,0,False,2023
48089_2023_005,48089,Colorado,2023-03-23,2023-03-24,2.0,78.27,2023-03-24,84.7,77.5,42.3,75.8,84.68,76.91,2.48,3.03,0,False,2023
48089_2023_006,48089,Colorado,2023-04-03,2023-04-04,2.0,82.66,2023-04-04,87.3,80.2,56.5,76.9,87.32,79.78,5.78,8.93,0,False,2023
48089_2023_007,48089,Colorado,2023-06-14,2023-06-22,9.0,99.58,2023-06-16,99.4,89.5,39.8,93.9,101.3,88.76,5.72,30.62,0,False,2023
48089_2023_008,48089,Colorado,2023-06-24,2023-06-25,2.0,97.33,2023-06-25,98.4,88.6,38.9,94.7,98.36,88.04,2.62,3.09,0,False,2023
48089_2023_009,48089,Colorado,2023-07-09,2023-07-14,6.0,98.14,2023-07-13,101.7,90.2,32.7,96.0,101.66,89.02,2.13,8.24,0,False,2023
48089_2023_010,48089,Colorado,2023-08-03,2023-08-04,2.0,98.79,2023-08-03,103.6,89.5,31.9,97.9,103.64,89.65,0.84,1.2,0,False,2023
48089_2023_011,48089,Colorado,2023-08-07,2023-08-12,6.0,105.04,2023-08-12,103.6,91.7,33.1,98.5,103.64,91.2,6.51,14.23,0,False,2023
48089_2023_012,48089,Colorado,2023-08-21,2023-08-22,2.0,102.33,2023-08-22,100.3,90.2,38.7,98.2,105.68,90.94,4.13,5.03,0,False,2023
48089_2023_013,48089,Colorado,2023-09-05,2023-09-09,5.0,100.36,2023-09-09,104.4,91.6,28.7,94.3,105.02,90.69,6.03,15.89,0,False,2023
48089_2023_014,48089,Colorado,2023-09-22,2023-09-25,4.0,98.5,2023-09-25,98.7,87.2,41.7,92.3,98.72,86.77,6.19,14.04,0,False,2023
48089_2023_015,48089,Colorado,2023-10-24,2023-10-28,5.0,84.23,2023-10-26,88.7,81.2,50.2,80.0,89.0,80.24,4.27,14.1,0,False,2023
48089_2024_001,48089,Colorado,2024-02-26,2024-02-27,2.0,78.06,2024-02-27,84.5,76.8,66.3,72.5,84.47,75.76,5.58,8.39,0,False,2024
48089_2024_002,48089,Colorado,2024-03-04,2024-03-05,2.0,75.76,2024-03-05,85.0,76.0,34.7,74.5,85.01,75.6,1.63,2.88,0,False,2024
48089_2024_003,48089,Colorado,2024-03-14,2024-03-15,2.0,78.42,2024-03-14,83.9,77.9,52.9,75.5,83.93,77.2,2.9,4.78,0,False,2024
48089_2024_004,48089,Colorado,2024-04-07,2024-04-09,3.0,78.73,2024-04-09,82.9,77.4,63.0,77.3,85.01,76.97,1.46,1.97,0,False,2024
48089_2024_005,48089,Colorado,2024-04-17,2024-04-19,3.0,80.54,2024-04-18,87.1,79.8,47.1,78.6,87.08,79.16,1.99,4.47,0,False,2024
48089_2024_006,48089,Colorado,2024-05-07,2024-05-09,3.0,91.98,2024-05-09,91.0,83.4,57.3,85.4,90.95,82.14,6.63,10.33,0,False,2024
48089_2024_007,48089,Colorado,2024-05-21,2024-05-27,7.0,95.6,2024-05-26,93.5,85.7,50.8,89.6,94.46,84.91,5.97,23.71,0,False,2024
48089_2024_008,48089,Colorado,2024-06-03,2024-06-04,2.0,94.01,2024-06-04,93.5,86.0,48.8,91.6,93.47,85.53,2.37,2.95,0,False,2024
48089_2024_009,48089,Colorado,2024-06-26,2024-06-27,2.0,96.92,2024-06-26,96.5,86.5,46.0,95.1,97.52,86.74,1.87,2.57,0,False,2024
48089_2024_010,48089,Colorado,2024-06-29,2024-06-30,2.0,98.81,2024-06-30,97.5,87.3,44.6,95.3,97.52,86.9,3.49,4.3,0,False,2024
48089_2024_011,48089,Colorado,2024-08-15,2024-08-16,2.0,98.92,2024-08-16,99.5,87.5,41.6,98.6,99.5,87.37,0.3,0.38,0,False,2024
48089_2024_012,48089,Colorado,2024-08-22,2024-08-23,2.0,103.64,2024-08-22,102.0,90.0,38.2,98.5,102.02,89.01,5.12,8.89,0,False,2024
48089_2024_013,48089,Colorado,2024-09-14,2024-09-16,3.0,94.79,2024-09-15,96.5,86.3,39.1,94.0,98.51,86.36,0.77,1.23,0,False,2024
48089_2024_014,48089,Colorado,2024-10-29,2024-11-01,4.0,83.39,2024-10-30,90.5,81.3,40.0,79.2,90.5,79.7,4.17,8.93,0,False,2024
48089_2024_015,48089,Colorado,2024-11-03,2024-11-04,2.0,84.93,2024-11-04,87.5,80.5,55.0,78.0,87.53,80.13,6.98,9.23,0,False,2024
48089_2024_016,48089,Colorado,2024-11-07,2024-11-08,2.0,79.76,2024-11-07,87.0,79.0,47.6,77.4,86.99,78.48,2.37,3.98,0,False,2024
48089_2024_017,48089,Colorado,2024-12-14,2024-12-17,4.0,72.94,2024-12-17,82.5,72.7,43.9,70.0,82.49,72.42,2.91,8.52,0,False,2024
48089_2025_001,48089,Colorado,2025-02-03,2025-02-08,6.0,76.03,2025-02-06,83.5,76.0,38.9,68.3,86.0,74.74,7.72,35.65,0,False,2025
48089_2025_002,48089,Colorado,2025-04-02,2025-04-04,3.0,84.4,2025-04-04,87.0,81.0,60.2,77.2,86.99,80.07,7.19,15.47,0,False,2025
48089_2025_003,48089,Colorado,2025-05-16,2025-05-20,5.0,91.94,2025-05-20,97.0,87.3,32.0,87.8,96.98,85.29,4.14,13.55,0,False,2025
48089_2025_004,48089,Colorado,2025-05-22,2025-05-25,4.0,91.3,2025-05-25,94.0,85.5,44.2,89.9,97.52,85.13,1.37,2.68,0,False,2025
48089_2025_005,48089,Colorado,2025-06-05,2025-06-06,2.0,92.83,2025-06-05,95.5,85.3,43.7,92.3,95.54,85.12,0.52,0.73,0,False,2025
48089_2025_006,48089,Colorado,2025-06-08,2025-06-09,2.0,93.25,2025-06-09,95.5,85.0,42.8,93.0,95.54,85.26,0.32,0.61,0,False,2025
48089_2025_007,48089,Colorado,2025-06-18,2025-06-19,2.0,96.23,2025-06-19,94.5,85.7,50.3,94.8,94.46,85.48,1.39,1.56,0,False,2025
48089_2025_008,48089,Colorado,2025-11-16,2025-11-21,6.0,80.49,2025-11-21,89.5,79.8,42.6,74.5,89.51,77.86,6.01,18.58,0,False,2025
48089_2025_009,48089,Colorado,2025-12-22,2025-12-28,7.0,75.78,2025-12-28,84.5,75.2,41.0,70.9,84.47,74.16,4.9,24.28,0,False,2025
48091_2015_001,48091,Comal,2015-09-09,2015-09-10,2.0,92.25,2015-09-10,98.1,86.0,38.3,91.7,98.06,86.27,0.56,0.98,0,False,2015
48091_2016_001,48091,Comal,2016-02-20,2016-02-21,2.0,71.13,2016-02-20,79.0,70.5,64.2,67.9,78.98,69.98,3.26,5.01,0,False,2016
48091_2016_002,48091,Comal,2016-07-05,2016-07-06,2.0,95.2,2016-07-06,98.1,87.0,38.0,93.9,98.96,87.22,1.27,2.5,0,False,2016
48091_2016_003,48091,Comal,2016-09-19,2016-09-20,2.0,91.19,2016-09-19,95.0,85.0,39.4,90.2,95.54,84.85,0.95,1.46,0,False,2016
48091_2016_004,48091,Comal,2016-10-17,2016-10-20,4.0,84.93,2016-10-19,91.0,81.0,47.1,80.3,90.95,80.57,4.64,11.67,0,False,2016
48091_2016_005,48091,Comal,2016-11-02,2016-11-04,3.0,79.65,2016-11-02,88.5,79.0,48.5,76.6,88.52,77.92,3.05,6.77,0,False,2016
48091_2016_006,48091,Comal,2016-12-25,2016-12-29,5.0,75.26,2016-12-27,82.5,74.7,57.6,64.4,82.49,71.25,10.81,34.28,0,False,2016
48091_2017_001,48091,Comal,2017-01-11,2017-01-14,4.0,72.45,2017-01-13,79.5,72.0,52.3,61.9,79.52,68.56,10.5,26.28,0,False,2017
48091_2017_002,48091,Comal,2017-02-07,2017-02-08,2.0,70.52,2017-02-07,77.0,71.0,25.2,65.2,84.47,69.37,5.35,5.85,0,False,2017
48091_2017_003,48091,Comal,2017-02-12,2017-02-13,2.0,73.41,2017-02-12,84.5,73.5,40.5,66.0,84.47,72.61,7.45,12.71,0,False,2017
48091_2017_004,48091,Comal,2017-02-28,2017-03-01,2.0,73.37,2017-02-28,80.5,73.0,55.6,68.4,80.51,71.89,4.93,6.25,0,False,2017
48091_2017_005,48091,Comal,2017-03-27,2017-03-28,2.0,75.32,2017-03-28,83.5,74.8,44.7,74.1,86.0,74.5,1.18,1.25,0,False,2017
48091_2017_006,48091,Comal,2017-07-01,2017-07-03,3.0,95.52,2017-07-01,98.1,87.5,39.0,93.5,98.06,86.69,2.07,3.17,0,False,2017
48091_2017_007,48091,Comal,2017-08-06,2017-08-07,2.0,98.45,2017-08-06,100.0,87.5,38.1,95.2,100.04,86.14,3.26,4.76,0,False,2017
48091_2017_008,48091,Comal,2017-11-03,2017-11-07,5.0,79.7,2017-11-07,88.1,78.6,52.0,75.2,89.51,77.64,4.46,11.45,0,False,2017
48091_2017_009,48091,Comal,2017-11-17,2017-11-18,2.0,75.75,2017-11-18,83.5,75.5,29.2,72.4,83.48,74.97,3.33,5.09,0,False,2017
48091_2018_001,48091,Comal,2018-02-28,2018-03-01,2.0,70.28,2018-03-01,82.0,70.5,41.4,69.5,82.04,70.3,1.22,2.05,0,False,2018
48091_2018_002,48091,Comal,2018-03-17,2018-03-18,2.0,74.81,2018-03-17,86.0,75.0,39.3,72.9,86.0,74.75,1.88,3.08,0,False,2018
48091_2018_003,48091,Comal,2018-08-29,2018-08-30,2.0,96.61,2018-08-30,100.9,87.4,33.3,94.2,100.94,87.48,2.37,2.46,0,False,2018
48091_2019_001,48091,Comal,2019-02-04,2019-02-07,4.0,70.58,2019-02-07,73.9,70.4,44.9,65.8,75.02,68.61,4.79,12.76,0,False,2019
48091_2019_002,48091,Comal,2019-08-26,2019-08-27,2.0,101.51,2019-08-27,100.9,89.0,41.2,95.0,100.94,88.74,6.47,9.15,0,False,2019
48091_2019_003,48091,Comal,2019-09-20,2019-09-21,2.0,94.1,2019-09-20,99.0,87.4,38.1,90.2,98.96,86.72,3.95,6.41,0,False,2019
48091_2019_004,48091,Comal,2019-09-23,2019-09-24,2.0,92.51,2019-09-24,97.0,86.0,39.9,89.6,96.98,85.78,2.94,3.04,0,False,2019
48091_2019_005,48091,Comal,2019-09-28,2019-10-01,4.0,91.54,2019-09-30,95.0,85.5,42.3,87.7,95.0,84.49,3.87,6.66,0,False,2019
48091_2020_001,48091,Comal,2020-01-15,2020-01-16,2.0,71.45,2020-01-16,75.0,71.0,61.9,63.9,75.02,68.0,7.6,8.54,0,False,2020
48091_2020_002,48091,Comal,2020-03-12,2020-03-15,4.0,75.48,2020-03-14,84.9,75.5,41.3,72.8,84.92,74.23,2.69,6.33,0,False,2020
48091_2020_003,48091,Comal,2020-03-27,2020-03-28,2.0,77.99,2020-03-28,86.0,77.5,31.7,74.2,87.98,77.5,3.77,6.93,0,False,2020
48091_2020_004,48091,Comal,2020-04-08,2020-04-10,3.0,85.61,2020-04-09,91.9,81.5,41.0,76.0,91.94,77.84,9.64,10.55,0,False,2020
48091_2020_005,48091,Comal,2020-08-29,2020-09-02,5.0,100.13,2020-09-01,100.0,90.1,41.2,94.1,102.92,88.88,6.04,19.89,0,False,2020
48091_2020_006,48091,Comal,2020-12-29,2020-12-30,2.0,66.96,2020-12-30,73.0,67.0,51.0,64.8,73.04,66.52,2.18,2.42,0,False,2020
48091_2021_001,48091,Comal,2021-06-24,2021-06-26,3.0,95.15,2021-06-24,95.0,85.5,47.6,93.5,95.0,85.28,1.68,2.88,0,False,2021
48091_2021_002,48091,Comal,2021-12-04,2021-12-06,3.0,70.31,2021-12-05,75.9,70.4,56.7,68.1,75.92,69.95,2.25,5.02,0,False,2021
48091_2021_003,48091,Comal,2021-12-10,2021-12-11,2.0,68.63,2021-12-10,75.0,69.0,37.6,66.1,82.04,68.27,2.49,3.8,0,False,2021
48091_2021_004,48091,Comal,2021-12-16,2021-12-18,3.0,72.45,2021-12-17,77.0,72.5,54.4,64.3,78.08,72.02,8.19,23.33,0,False,2021
48091_2021_005,48091,Comal,2021-12-25,2021-12-28,4.0,71.13,2021-12-28,77.0,71.0,54.2,65.2,77.0,68.11,5.93,12.21,0,False,2021
48091_2021_006,48091,Comal,2021-12-30,2021-12-31,2.0,68.67,2021-12-31,80.8,69.6,36.1,64.8,80.96,69.03,3.86,6.36,1,True,2021
48091_2022_001,48091,Comal,2022-05-09,2022-05-10,2.0,86.32,2022-05-10,93.0,84.0,33.1,85.6,95.0,84.02,0.7,0.76,0,False,2022
48091_2022_002,48091,Comal,2022-07-20,2022-07-21,2.0,97.01,2022-07-21,102.0,89.5,28.0,95.4,102.02,89.24,1.65,2.89,0,False,2022
48091_2022_003,48091,Comal,2022-12-07,2022-12-11,5.0,71.94,2022-12-08,77.0,72.0,51.0,68.0,77.0,70.38,3.98,12.28,0,False,2022
48091_2023_001,48091,Comal,2023-02-22,2023-02-23,2.0,74.58,2023-02-23,86.0,74.5,37.7,68.9,86.0,72.23,5.68,6.18,0,False,2023
48091_2023_002,48091,Comal,2023-06-21,2023-06-22,2.0,97.16,2023-06-22,102.9,88.0,35.0,93.5,104.0,89.51,3.68,6.9,0,False,2023
48091_2023_003,48091,Comal,2023-07-11,2023-07-14,4.0,97.89,2023-07-13,104.0,91.0,24.6,95.3,104.0,90.52,2.61,7.52,0,False,2023
48091_2023_004,48091,Comal,2023-08-11,2023-08-13,3.0,98.89,2023-08-13,102.9,91.0,24.4,95.9,104.0,91.01,2.95,5.82,0,False,2023
48091_2023_005,48091,Comal,2023-09-05,2023-09-06,2.0,95.49,2023-09-05,100.9,89.5,29.3,93.4,102.02,89.78,2.06,3.58,0,False,2023
48091_2023_006,48091,Comal,2023-09-09,2023-09-10,2.0,95.09,2023-09-09,104.0,90.0,23.1,91.9,104.0,88.97,3.16,4.98,0,False,2023
48091_2023_007,48091,Comal,2023-09-22,2023-09-25,4.0,99.8,2023-09-25,100.9,88.0,39.1,89.6,100.94,87.22,10.24,16.68,0,False,2023
48091_2023_008,48091,Comal,2023-10-28,2023-10-29,2.0,79.41,2023-10-29,84.9,78.4,46.0,77.9,84.92,78.22,1.53,2.19,0,False,2023
48091_2024_001,48091,Comal,2024-02-26,2024-02-27,2.0,71.28,2024-02-27,82.0,70.5,70.7,68.9,82.94,70.48,2.34,3.45,0,False,2024
48091_2024_002,48091,Comal,2024-03-14,2024-03-15,2.0,74.72,2024-03-14,84.0,74.5,60.1,73.1,84.02,73.98,1.58,2.58,0,False,2024
48091_2024_003,48091,Comal,2024-06-25,2024-06-26,2.0,96.65,2024-06-26,95.7,86.6,45.2,93.7,95.71,86.32,2.91,4.03,2,True,2024
48091_2024_004,48091,Comal,2024-06-28,2024-06-30,3.0,97.43,2024-06-29,97.7,88.0,39.2,93.9,97.72,87.32,3.52,7.19,3,True,2024
48091_2024_005,48091,Comal,2024-08-22,2024-08-23,2.0,97.45,2024-08-23,102.3,89.5,29.9,95.9,105.24,89.94,1.51,1.74,2,True,2024
48091_2024_006,48091,Comal,2024-09-19,2024-09-20,2.0,93.96,2024-09-20,96.1,86.5,38.0,90.5,96.08,86.27,3.48,4.65,0,False,2024
48091_2024_007,48091,Comal,2024-10-30,2024-10-31,2.0,80.3,2024-10-31,86.0,79.5,46.2,77.5,86.0,78.98,2.83,4.11,0,False,2024
48091_2024_008,48091,Comal,2024-12-15,2024-12-17,3.0,69.64,2024-12-16,73.0,70.0,46.7,65.0,75.92,69.5,4.93,12.42,0,False,2024
48091_2025_001,48091,Comal,2025-02-04,2025-02-09,6.0,72.75,2025-02-09,84.0,72.0,61.7,66.6,84.02,71.36,6.19,30.34,0,False,2025
48091_2025_002,48091,Comal,2025-04-03,2025-04-04,2.0,80.98,2025-04-04,88.0,80.0,41.1,75.7,87.98,78.98,5.26,7.64,0,False,2025
48091_2025_003,48091,Comal,2025-05-14,2025-05-15,2.0,87.46,2025-05-15,100.0,85.0,24.5,86.3,100.04,84.78,1.16,1.59,0,False,2025
48091_2025_004,48091,Comal,2025-05-17,2025-05-18,2.0,89.07,2025-05-17,97.0,86.4,30.0,86.6,96.98,86.22,2.5,4.53,0,False,2025
48091_2025_005,48091,Comal,2025-05-25,2025-05-26,2.0,95.04,2025-05-26,93.9,85.5,46.1,88.8,95.0,85.24,6.29,7.17,0,False,2025
48091_2025_006,48091,Comal,2025-11-15,2025-11-21,7.0,76.75,2025-11-19,82.0,76.6,47.7,72.1,84.02,75.15,4.68,20.59,0,False,2025
48091_2025_007,48091,Comal,2025-12-23,2025-12-28,6.0,71.88,2025-12-27,81.5,72.3,44.1,65.7,81.65,70.35,6.15,26.6,6,True,2025
48093_2015_001,48093,Comanche,2015-01-28,2015-01-29,2.0,62.74,2015-01-28,80.0,64.5,17.0,60.0,79.97,63.36,2.79,3.99,0,False,2015
48093_2015_002,48093,Comanche,2015-03-31,2015-04-02,3.0,78.81,2015-04-02,92.0,78.8,29.8,73.3,92.03,75.41,5.53,6.37,0,False,2015
48093_2015_003,48093,Comanche,2015-10-11,2015-10-12,2.0,83.67,2015-10-12,95.0,81.5,23.2,78.1,95.0,80.51,5.59,5.96,0,False,2015
48093_2015_004,48093,Comanche,2015-12-11,2015-12-12,2.0,63.76,2015-12-11,83.5,65.0,18.8,62.9,83.48,64.24,0.84,1.52,0,False,2015
48093_2015_005,48093,Comanche,2015-12-21,2015-12-24,4.0,63.51,2015-12-23,74.9,64.4,30.5,57.8,77.0,61.98,5.73,11.77,0,False,2015
48093_2016_001,48093,Comanche,2016-01-30,2016-01-31,2.0,62.61,2016-01-30,84.0,64.5,13.0,60.1,84.02,63.72,2.55,3.92,0,False,2016
48093_2016_002,48093,Comanche,2016-02-19,2016-02-20,2.0,70.98,2016-02-20,79.0,70.5,57.8,65.1,80.96,68.99,5.92,8.64,0,False,2016
48093_2016_003,48093,Comanche,2016-06-14,2016-06-16,3.0,94.0,2016-06-16,96.1,86.5,36.6,90.6,96.08,85.01,3.42,4.58,0,False,2016
48093_2016_004,48093,Comanche,2016-07-02,2016-07-07,6.0,96.96,2016-07-04,99.0,87.0,38.5,92.6,100.04,86.76,4.37,14.94,0,False,2016
48093_2016_005,48093,Comanche,2016-09-07,2016-09-08,2.0,91.34,2016-09-07,95.5,85.0,41.7,90.6,96.53,85.14,0.69,0.98,0,False,2016
48093_2016_006,48093,Comanche,2016-09-18,2016-09-20,3.0,89.5,2016-09-19,95.4,83.8,38.4,86.5,95.99,83.0,2.99,4.69,0,False,2016
48093_2016_007,48093,Comanche,2016-10-16,2016-10-19,4.0,79.8,2016-10-17,90.0,79.0,40.9,76.6,90.05,78.16,3.15,8.96,0,False,2016
48093_2016_008,48093,Comanche,2016-11-01,2016-11-02,2.0,76.75,2016-11-02,86.4,76.2,43.4,73.2,86.45,75.24,3.54,4.32,0,False,2016
48093_2016_009,48093,Comanche,2016-12-24,2016-12-26,3.0,71.17,2016-12-25,78.1,71.1,47.9,58.1,78.08,65.72,13.02,21.6,0,False,2016
48093_2017_001,48093,Comanche,2017-01-11,2017-01-12,2.0,63.72,2017-01-11,78.5,64.5,31.5,57.3,78.53,62.76,6.46,9.84,0,False,2017
48093_2017_002,48093,Comanche,2017-02-06,2017-02-07,2.0,64.81,2017-02-07,80.5,66.7,15.3,61.2,80.51,66.13,3.57,7.02,0,False,2017
48093_2017_003,48093,Comanche,2017-02-11,2017-02-12,2.0,69.18,2017-02-12,81.0,69.7,39.4,63.1,83.57,69.12,6.11,11.59,0,False,2017
48093_2017_004,48093,Comanche,2017-03-20,2017-03-21,2.0,73.5,2017-03-21,86.5,73.8,27.8,71.3,86.54,73.4,2.19,3.24,0,False,2017
48093_2017_005,48093,Comanche,2017-09-21,2017-09-22,2.0,88.71,2017-09-21,98.1,84.5,33.9,86.4,98.06,83.88,2.27,3.36,0,False,2017
48093_2017_006,48093,Comanche,2017-11-04,2017-11-05,2.0,77.42,2017-11-05,88.0,77.0,33.0,72.6,89.06,75.02,4.82,4.89,0,False,2017
48093_2017_007,48093,Comanche,2017-12-03,2017-12-04,2.0,70.01,2017-12-04,80.1,70.0,39.6,63.9,80.06,67.98,6.12,6.71,0,False,2017
48093_2018_001,48093,Comanche,2018-01-20,2018-01-21,2.0,63.74,2018-01-21,77.0,64.5,31.9,58.7,78.08,63.28,5.04,6.91,0,False,2018
48093_2018_002,48093,Comanche,2018-03-24,2018-03-26,3.0,77.05,2018-03-26,88.0,77.0,32.1,72.3,89.06,75.02,4.73,7.92,0,False,2018
48093_2018_003,48093,Comanche,2018-06-22,2018-06-25,4.0,94.53,2018-06-23,102.0,89.5,26.0,92.6,102.47,88.94,1.94,3.78,0,False,2018
48093_2018_004,48093,Comanche,2018-07-19,2018-07-20,2.0,97.58,2018-07-19,108.0,94.5,13.8,94.3,107.96,94.24,3.28,5.75,0,False,2018
48093_2019_001,48093,Comanche,2019-02-03,2019-02-06,4.0,70.03,2019-02-04,81.0,70.5,31.2,61.9,80.96,67.94,8.13,23.0,0,False,2019
48093_2019_002,48093,Comanche,2019-09-20,2019-10-02,13.0,89.87,2019-09-23,99.0,86.0,29.8,86.1,100.04,84.84,5.2,31.92,0,False,2019
48093_2020_001,48093,Comanche,2020-01-14,2020-01-15,2.0,66.83,2020-01-15,79.0,67.0,45.4,58.1,78.98,65.75,8.75,14.6,0,False,2020
48093_2020_002,48093,Comanche,2020-03-11,2020-03-12,2.0,74.04,2020-03-12,82.0,74.0,39.8,69.2,84.02,74.03,4.84,9.63,0,False,2020
48093_2020_003,48093,Comanche,2020-03-26,2020-03-27,2.0,74.38,2020-03-27,84.7,74.3,45.9,72.5,87.68,73.58,1.88,2.1,2,True,2020
48093_2020_004,48093,Comanche,2020-05-03,2020-05-04,2.0,86.02,2020-05-04,99.0,84.5,22.4,79.1,98.96,83.98,6.9,13.03,0,False,2020
48093_2020_005,48093,Comanche,2020-05-19,2020-05-20,2.0,88.07,2020-05-19,99.0,85.5,24.3,84.2,98.96,83.48,3.84,4.02,0,False,2020
48093_2020_006,48093,Comanche,2020-07-13,2020-07-14,2.0,94.53,2020-07-14,109.0,95.0,9.0,94.0,109.04,94.5,0.53,0.72,0,False,2020
48093_2020_007,48093,Comanche,2020-08-28,2020-09-01,5.0,99.31,2020-08-29,106.0,93.0,22.8,93.3,105.98,90.0,6.04,13.93,0,False,2020
48093_2021_001,48093,Comanche,2021-03-11,2021-03-12,2.0,71.8,2021-03-12,81.0,72.0,43.5,69.3,80.96,71.46,2.46,3.91,0,False,2021
48093_2021_002,48093,Comanche,2021-10-24,2021-10-26,3.0,78.63,2021-10-24,91.0,78.0,33.7,75.1,95.0,77.0,3.49,8.18,0,False,2021
48093_2021_003,48093,Comanche,2021-12-09,2021-12-10,2.0,74.06,2021-12-10,86.0,74.5,16.8,63.1,86.0,73.76,10.95,19.33,0,False,2021
48093_2021_004,48093,Comanche,2021-12-14,2021-12-17,4.0,73.25,2021-12-15,81.0,73.5,42.8,60.5,80.96,68.11,12.7,29.55,0,False,2021
48093_2021_005,48093,Comanche,2021-12-23,2021-12-31,9.0,71.74,2021-12-24,84.9,72.5,24.6,59.4,89.96,67.28,12.37,56.91,0,False,2021
48093_2022_001,48093,Comanche,2022-03-26,2022-03-27,2.0,78.09,2022-03-27,95.0,79.5,4.1,72.5,95.0,77.0,5.56,5.81,0,False,2022
48093_2022_002,48093,Comanche,2022-04-11,2022-04-12,2.0,80.19,2022-04-11,97.0,80.5,19.1,74.9,96.98,79.03,5.31,7.38,0,False,2022
48093_2022_003,48093,Comanche,2022-04-20,2022-04-23,4.0,82.84,2022-04-21,91.0,81.5,35.9,76.3,93.02,79.0,6.56,11.57,0,False,2022
48093_2022_004,48093,Comanche,2022-05-07,2022-05-13,7.0,89.82,2022-05-09,102.0,87.5,25.2,80.2,107.96,86.64,9.58,42.17,0,False,2022
48093_2022_005,48093,Comanche,2022-05-15,2022-05-20,6.0,87.2,2022-05-15,106.0,88.0,13.4,82.8,105.98,87.0,4.37,13.22,0,False,2022
48093_2022_006,48093,Comanche,2022-05-31,2022-06-01,2.0,94.73,2022-06-01,100.0,86.5,32.6,88.8,100.04,86.27,5.95,6.64,0,False,2022
48093_2022_007,48093,Comanche,2022-06-10,2022-06-12,3.0,96.28,2022-06-12,108.0,94.5,13.5,90.4,107.96,91.49,5.85,10.12,0,False,2022
48093_2022_008,48093,Comanche,2022-06-23,2022-06-24,2.0,94.1,2022-06-24,108.0,93.5,13.4,92.8,109.04,92.26,1.31,1.36,0,False,2022
48093_2022_009,48093,Comanche,2022-07-02,2022-07-03,2.0,98.01,2022-07-02,106.0,89.5,29.9,93.1,105.98,89.51,4.91,8.86,0,False,2022
48093_2022_010,48093,Comanche,2022-07-05,2022-07-10,6.0,101.56,2022-07-08,109.0,95.0,18.5,94.1,111.02,92.99,7.44,25.52,0,False,2022
48093_2022_011,48093,Comanche,2022-07-13,2022-07-14,2.0,99.64,2022-07-14,108.0,90.0,22.8,94.1,111.02,91.49,5.53,7.61,0,False,2022
48093_2022_012,48093,Comanche,2022-07-16,2022-07-21,6.0,102.88,2022-07-20,111.0,96.0,18.8,94.3,111.02,93.74,8.54,25.45,0,False,2022
48093_2022_013,48093,Comanche,2022-07-24,2022-07-26,3.0,95.72,2022-07-25,106.0,92.5,19.7,94.6,105.98,91.82,1.11,1.58,0,False,2022
48093_2022_014,48093,Comanche,2022-08-27,2022-08-29,3.0,100.76,2022-08-29,102.9,88.4,37.8,93.6,104.0,88.13,7.14,13.61,0,False,2022
48093_2022_015,48093,Comanche,2022-09-17,2022-09-22,6.0,91.21,2022-09-18,98.1,85.6,35.7,87.5,102.02,86.09,4.15,17.61,0,False,2022
48093_2022_016,48093,Comanche,2022-11-08,2022-11-10,3.0,73.39,2022-11-09,82.9,73.5,42.9,71.0,82.94,71.81,2.34,2.39,0,False,2022
48093_2022_017,48093,Comanche,2022-12-05,2022-12-10,6.0,71.54,2022-12-07,78.1,71.5,53.7,64.0,78.98,68.6,7.53,27.13,0,False,2022
48093_2023_001,48093,Comanche,2023-01-01,2023-01-02,2.0,67.75,2023-01-02,80.1,68.0,38.6,59.7,80.96,66.74,8.01,11.69,0,False,2023
48093_2023_002,48093,Comanche,2023-01-10,2023-01-11,2.0,70.72,2023-01-11,86.0,72.0,12.7,57.8,86.0,70.47,12.92,21.93,0,False,2023
48093_2023_003,48093,Comanche,2023-01-16,2023-01-18,3.0,67.22,2023-01-17,82.0,68.5,21.8,58.8,82.04,65.87,8.39,16.94,0,False,2023
48093_2023_004,48093,Comanche,2023-02-20,2023-02-22,3.0,73.17,2023-02-21,87.5,73.5,25.9,65.7,87.53,70.76,7.5,12.54,0,False,2023
48093_2023_005,48093,Comanche,2023-03-06,2023-03-07,2.0,69.42,2023-03-06,83.9,69.9,31.7,67.9,83.93,69.57,1.47,2.24,0,False,2023
48093_2023_006,48093,Comanche,2023-03-22,2023-03-23,2.0,76.31,2023-03-22,89.1,76.6,31.3,72.0,89.06,75.78,4.3,7.45,0,False,2023
