year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,2824,246,1035
2016,2923,250,1129
2017,4644,254,1696
2018,3583,248,1052
2019,2646,238,858
2020,3740,249,1280
2021,3704,249,1209
2022,7112,253,2162
2023,12206,254,2814
2024,5283,252,1680
2025,6605,253,2090
