year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,2277,240,861
2016,2408,247,961
2017,4224,254,1580
2018,3150,241,957
2019,2167,232,723
2020,3217,247,1099
2021,3008,244,1036
2022,6348,251,1964
2023,11436,253,2596
2024,4479,250,1450
2025,5345,252,1744
