year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,3052,241,1047
2016,3579,249,1284
2017,4648,253,1816
2018,3541,247,1092
2019,2451,228,874
2020,3927,247,1358
2021,3802,251,1219
2022,7305,252,2159
2023,11749,253,2931
2024,5816,252,1842
2025,6706,254,1909
