year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,3460,245,1181
2016,4232,253,1446
2017,5165,253,1947
2018,4002,248,1238
2019,3127,245,1121
2020,4628,249,1564
2021,4301,253,1375
2022,8089,253,2290
2023,11967,253,3002
2024,6636,254,2014
2025,7310,254,2057
