year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,1732,221,635
2016,4661,253,1516
2017,4170,251,1522
2018,3972,245,1320
2019,4749,250,1538
2020,4392,244,1388
2021,4079,254,1475
2022,7288,252,2070
2023,9963,253,2536
2024,6707,254,2159
2025,4877,250,1471
