year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,2286,234,911
2016,4379,253,1451
2017,4601,254,1701
2018,3798,242,1374
2019,5675,252,1704
2020,4924,249,1579
2021,4186,254,1412
2022,7496,253,2172
2023,10566,253,2762
2024,7979,254,2628
2025,5606,254,1581
