year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,2767,243,1077
2016,5090,253,1610
2017,4918,253,1792
2018,4331,244,1560
2019,6183,252,1830
2020,5497,251,1789
2021,4623,254,1553
2022,8164,252,2354
2023,11003,253,2882
2024,8876,254,2941
2025,6073,254,1676
