year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,2163,227,794
2016,5191,253,1646
2017,4658,253,1675
2018,4392,245,1429
2019,5165,250,1673
2020,4673,247,1497
2021,4659,254,1633
2022,7789,253,2227
2023,10487,253,2715
2024,7201,254,2328
2025,5525,251,1633
