county_fips,year,month,classified_dates
48039,2023,9,10
48039,2024,6,1
48039,2024,7,3
48039,2024,8,12
48039,2024,9,4
48041,2016,7,3
48041,2016,9,2
48041,2020,8,1
48041,2020,9,1
48041,2021,6,5
48041,2022,7,11
48041,2022,8,2
48041,2023,6,4
48041,2023,7,4
48041,2023,8,18
48041,2023,9,16
48041,2024,6,2
48041,2024,9,2
48041,2025,6,3
48043,2019,8,13
48043,2020,8,3
48043,2020,9,1
48043,2021,6,4
48043,2023,7,6
48043,2023,8,7
48043,2023,9,10
48043,2024,6,8
48043,2024,7,2
48043,2024,8,2
48043,2024,9,4
48045,2015,9,2
48045,2016,7,2
48045,2018,7,3
48045,2019,7,4
48045,2019,8,6
48045,2019,9,2
48045,2020,7,6
48045,2020,8,3
48045,2020,9,2
48045,2021,6,2
48045,2022,7,4
48045,2022,8,6
48045,2023,6,2
48045,2023,7,5
48045,2023,8,6
48045,2023,9,2
48045,2024,8,19
48045,2024,9,6
48045,2025,7,2
48045,2025,8,3
48047,2019,8,4
48047,2020,8,3
48049,2015,8,5
48049,2015,9,3
48049,2016,7,2
48049,2017,9,3
48049,2018,6,5
48049,2018,8,2
48049,2019,9,7
48049,2021,8,2
48049,2022,6,2
48049,2022,7,2
48049,2023,6,2
48049,2023,9,2
48049,2024,8,2
48049,2025,6,2
48049,2025,8,3
48051,2015,6,6
48051,2015,8,4
48051,2016,6,5
48051,2016,7,4
48051,2016,8,2
48051,2016,9,6
48051,2017,8,7
48051,2018,8,2
48051,2018,9,6
48051,2019,6,6
48051,2019,7,2
48051,2019,8,8
48051,2019,9,6
48051,2022,8,2
48051,2023,6,2
48051,2024,6,2
48053,2016,7,11
48053,2016,8,2
48053,2018,7,5
48053,2019,6,2
48053,2019,8,2
48053,2019,9,4
48053,2021,6,2
48053,2021,9,2
48053,2022,7,10
48053,2023,6,6
48053,2023,7,7
48053,2023,8,16
48053,2023,9,10
48053,2024,6,4
48053,2024,8,3
48053,2024,9,5
48055,2015,8,6
48055,2015,9,2
48055,2016,6,2
48055,2016,7,2
48055,2016,8,5
48055,2016,9,2
48055,2017,7,6
48055,2017,8,10
48055,2019,8,4
48055,2019,9,7
48055,2020,6,2
48055,2020,7,1
48055,2020,8,7
48055,2020,9,1
48055,2021,6,3
48055,2022,6,3
48055,2022,7,5
48055,2023,6,7
48055,2023,7,8
48055,2023,8,9
48055,2023,9,10
48055,2024,6,5
48055,2024,9,2
48057,2016,9,2
48057,2017,6,2
48057,2017,8,2
48057,2019,6,4
48057,2020,6,2
48057,2020,8,5
48057,2023,6,5
48057,2023,7,4
48057,2023,9,11
48057,2024,6,15
48057,2024,7,9
48057,2024,8,18
48057,2024,9,10
48057,2025,6,12
48057,2025,7,7
48057,2025,8,17
48057,2025,9,5
48059,2016,7,2
48059,2017,9,2
48059,2019,8,2
48059,2019,9,5
48059,2020,8,2
48059,2020,9,2
48059,2022,7,2
48059,2022,9,2
48059,2023,7,2
48059,2023,8,6
48059,2023,9,7
48059,2024,8,3
48059,2025,6,2
48059,2025,9,2
48061,2016,7,2
48061,2016,8,3
48061,2016,9,7
48061,2017,6,10
48061,2017,7,3
48061,2017,8,7
