year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,5504,252,1890
2016,10055,254,2802
2017,9831,254,3193
2018,8995,252,2587
2019,9605,254,2678
2020,8587,254,2534
2021,8746,254,2739
2022,13050,254,3308
2023,16604,254,4033
2024,13986,254,4127
2025,10065,254,2713
