year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,7261,253,2506
2016,10663,254,3038
2017,10600,254,3448
2018,10059,251,3228
2019,11002,254,2889
2020,10233,254,3128
2021,9039,254,2836
2022,14025,254,3583
2023,17701,254,4395
2024,16307,254,4757
2025,11016,254,2945
