year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,6238,253,2113
2016,10824,254,2976
2017,10597,254,3389
2018,9585,252,2717
2019,10389,254,2865
2020,8911,254,2658
2021,9355,254,2888
2022,13575,254,3462
2023,17267,254,4221
2024,14738,254,4360
2025,10884,254,2886
