year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,6481,252,2263
2016,10208,254,2981
2017,10329,254,3399
2018,9270,251,2968
2019,10465,254,2788
2020,9704,254,2966
2021,8541,254,2652
2022,13530,254,3495
2023,17331,254,4270
2024,15543,254,4554
2025,10375,254,2763
