county_fips,year,month,classified_assessment_dates
48007,1985,8,8
48007,1985,9,6
48007,1986,6,1
48007,1986,7,3
48007,1986,8,4
48007,1986,9,2
48007,1986,10,3
48007,1987,6,1
48007,1987,7,7
48007,1987,8,14
48007,1987,9,5
48007,1988,7,10
48007,1988,8,12
48007,1988,9,1
48007,1989,7,2
48007,1989,8,6
48007,1989,9,5
48007,1990,6,1
48007,1990,8,8
48007,1991,8,3
48007,1993,8,3
48007,1995,7,1
48007,1996,7,20
48007,1996,8,14
48007,1996,9,2
48007,1997,7,7
48007,1997,8,12
48007,1997,9,1
48007,1998,6,12
48007,1998,7,16
48007,1998,8,3
48007,1999,8,3
48007,2000,8,1
48007,2000,9,4
48007,2001,7,3
48007,2001,8,8
48007,2002,7,3
48007,2002,8,7
48007,2003,6,2
48007,2003,8,1
48007,2004,8,9
48007,2005,6,1
48007,2005,7,13
48007,2005,8,20
48007,2005,9,11
48007,2006,7,5
48007,2006,8,15
48007,2007,8,11
48007,2008,9,2
48007,2009,7,6
48007,2009,8,10
48007,2009,10,1
48007,2010,6,8
48007,2010,7,6
48007,2010,8,14
48007,2010,9,3
48007,2011,6,3
48007,2011,7,6
48007,2011,8,21
48007,2011,9,5
48007,2012,6,4
48007,2012,7,1
48007,2012,8,5
48007,2012,9,2
48007,2013,6,9
48007,2013,7,1
48007,2013,8,3
48007,2014,8,10
48007,2014,9,2
48007,2015,7,1
48007,2015,8,6
48007,2016,6,3
48007,2016,7,11
48007,2016,8,7
48007,2016,9,3
48007,2017,6,3
48007,2017,7,10
48007,2017,8,12
48007,2018,6,2
48007,2018,8,5
48007,2019,6,2
48007,2019,7,3
48007,2019,8,13
48007,2019,9,9
48007,2019,10,2
48007,2020,6,1
48007,2020,7,13
48007,2020,8,11
48007,2020,9,4
48007,2021,6,1
48007,2021,8,10
48007,2021,9,2
48007,2022,6,8
48007,2022,7,20
48007,2022,8,7
48007,2022,9,1
48007,2023,6,18
48007,2023,7,25
48007,2023,8,28
48007,2023,9,16
48007,2024,5,9
48007,2024,6,17
48007,2024,7,15
48007,2024,8,21
48007,2024,9,6
48007,2025,6,7
48007,2025,7,18
48007,2025,8,13
48007,2025,9,4
48009,1979,7,5
48009,1980,6,7
48009,1980,7,27
48009,1980,8,23
48009,1981,7,10
48009,1981,8,7
48009,1982,8,3
48009,1983,7,4
48009,1983,8,6
48009,1983,9,1
48009,1984,6,1
48009,1984,7,3
48009,1984,8,9
48009,1984,9,6
48009,1985,5,1
48009,1985,7,2
48009,1985,8,16
48009,1985,9,7
48009,1986,7,7
48009,1986,8,5
48009,1987,8,13
48009,1988,8,8
48009,1990,6,4
48009,1990,7,1
48009,1991,7,7
48009,1993,7,9
48009,1993,8,14
48009,1994,6,5
48009,1994,7,3
48009,1995,7,5
48009,1995,9,3
48009,1996,6,3
48009,1996,7,15
48009,1996,8,5
48009,1997,7,1
48009,1997,9,2
48009,1998,6,14
48009,1998,7,25
48009,1998,8,5
48009,1998,9,3
48009,1999,7,2
48009,1999,8,14
48009,2000,5,2
48009,2000,6,1
48009,2000,7,13
48009,2000,8,27
48009,2000,9,7
48009,2001,7,26
48009,2001,8,13
48009,2002,7,1
48009,2002,8,3
48009,2003,7,5
48009,2003,8,10
48009,2004,7,1
48009,2006,7,14
48009,2006,8,23
48009,2008,7,8
48009,2008,8,5
48009,2009,7,8
48009,2010,8,7
48009,2011,6,13
48009,2011,7,29
48009,2011,8,28
48009,2011,9,2
48009,2012,6,3
48009,2012,7,8
48009,2012,8,10
48009,2012,9,1
48009,2013,6,2
48009,2013,7,3
48009,2013,8,6
48009,2015,8,5
48009,2016,7,2
48009,2016,8,9
48009,2017,7,10
48009,2018,6,2
48009,2018,7,7
48009,2019,8,10
48009,2020,7,5
48009,2020,8,7
48009,2022,6,6
48009,2022,7,22
48009,2022,8,9
48009,2023,6,5
48009,2023,7,13
48009,2023,8,25
48009,2023,9,5
48009,2024,6,4
48009,2024,7,4
48009,2024,8,19
48011,1979,7,3
48011,1980,6,6
48011,1980,7,21
48011,1980,8,3
48011,1981,6,6
48011,1981,7,8
48011,1981,8,1
48011,1982,7,4
48011,1982,8,5
48011,1983,7,10
48011,1983,8,8
48011,1983,9,2
48011,1984,8,3
48011,1985,7,1
48011,1985,8,1
48011,1985,9,1
48011,1986,7,10
48011,1986,8,3
48011,1988,8,2
48011,1989,8,2
48011,1990,6,8
48011,1992,7,1
48011,1993,7,1
48011,1994,6,3
48011,1994,7,4
48011,1994,8,1
48011,1995,7,3
48011,1995,9,1
48011,1996,5,3
48011,1996,7,3
48011,1998,6,9
48011,1998,7,13
48011,1999,7,7
48011,1999,8,2
48011,2000,7,11
48011,2000,8,18
48011,2000,9,9
48011,2001,6,1
48011,2001,7,26
48011,2001,8,6
48011,2002,6,2
48011,2002,7,4
48011,2002,8,5
48011,2003,7,14
48011,2003,8,15
48011,2004,7,1
48011,2004,8,2
48011,2005,7,6
48011,2006,6,10
48011,2006,7,18
48011,2006,8,10
48011,2007,8,4
48011,2008,6,3
48011,2008,7,6
48011,2008,8,5
48011,2009,6,3
48011,2009,7,8
48011,2009,8,6
48011,2010,6,5
48011,2010,7,1
48011,2010,8,16
48011,2011,6,18
48011,2011,7,31
48011,2011,8,29
48011,2011,9,3
48011,2012,6,5
48011,2012,7,22
48011,2012,8,15
48011,2012,9,3
48011,2013,6,8
48011,2013,7,6
48011,2013,8,6
48011,2013,9,2
48011,2014,6,1
48011,2014,7,6
48011,2014,8,6
48011,2014,9,3
48011,2015,7,10
48011,2015,8,5
48011,2016,6,4
48011,2016,7,19
