year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,5873,251,1884
2016,5675,254,1979
2017,8617,254,2964
2018,7210,253,2017
2019,5139,251,1584
2020,6992,254,2291
2021,6074,253,1852
2022,12983,254,3325
2023,18005,254,3779
2024,9749,254,2832
2025,11161,254,3236
