year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,6300,251,1954
2016,7153,254,2233
2017,9233,254,3207
2018,7791,252,2200
2019,6207,253,1946
2020,8091,254,2659
2021,7057,254,2119
2022,14055,254,3528
2023,19120,254,4342
2024,11596,254,3334
2025,11756,254,3200
