year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,6679,252,2099
2016,6284,254,2147
2017,9345,254,3164
2018,7872,254,2144
2019,5869,254,1763
2020,7594,254,2457
2021,6920,254,2083
2022,14004,254,3548
2023,18791,254,3985
2024,10886,254,3059
2025,12525,254,3476
