year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,6880,253,2102
2016,7748,254,2352
2017,9704,254,3321
2018,8291,253,2329
2019,6865,252,2144
2020,8832,254,2854
2021,7443,254,2218
2022,14864,254,3679
2023,19386,254,4401
2024,12243,254,3423
2025,12347,254,3359
