county_fips,calendar_month,analysis_year,threshold_value_f,n_reference_values,definition_id,percentile,window_method,threshold_quality_flag
48001,7,2019,93.36201513462711,1240,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,8,2019,94.46480496703194,1240,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,9,2019,87.45632951741618,1200,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,10,2019,76.4627168238,1240,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,11,2019,67.09903883989999,1200,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,12,2019,59.893003698574994,1240,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,1,2020,57.130137025500005,1271,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,2,2020,62.492281853449995,1158,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,3,2020,68.395739517,1271,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,4,2020,73.486531576275,1230,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,5,2020,80.31171705399998,1271,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,6,2020,89.26093258013402,1230,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,7,2020,93.32219514036672,1271,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,8,2020,94.47264322301642,1271,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,9,2020,87.51624332027446,1230,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,10,2020,76.5237376895,1271,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,11,2020,67.07638272049999,1230,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,12,2020,59.7504940475,1271,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,1,2021,57.1528356217,1302,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,2,2021,62.46199525821642,1187,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,3,2021,68.601270777725,1302,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,4,2021,73.484833224525,1260,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,5,2021,80.255641002475,1302,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,6,2021,89.21975676913138,1260,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,7,2021,93.25591546832068,1302,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,8,2021,94.51243883674711,1302,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,9,2021,87.45632951741617,1260,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,10,2021,76.49693371915,1302,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,11,2021,67.22311951757499,1260,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,12,2021,59.681020422349995,1302,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,1,2022,57.083024407100005,1333,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,2,2022,62.4524804798,1215,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,3,2022,68.5969195552,1333,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,4,2022,73.44895635900001,1290,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,5,2022,80.20815790750001,1333,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,6,2022,89.26976251552942,1290,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,7,2022,93.22832391682803,1333,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,8,2022,94.46592471788686,1333,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,9,2022,87.49244835135252,1290,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,10,2022,76.586038806,1333,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,11,2022,67.13472017289997,1290,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,12,2022,60.327577733,1333,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,1,2023,56.899051582300004,1364,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,2,2023,62.404944047200004,1243,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,3,2023,68.414604330275,1364,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,4,2023,73.456319505525,1320,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,5,2023,80.3129482661,1364,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,6,2023,89.37775294590804,1320,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,7,2023,93.33321045675498,1364,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,8,2023,94.38771844298556,1364,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,9,2023,87.45545382955676,1320,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,10,2023,76.48528426944999,1364,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
48001,11,2023,67.20444115407501,1320,relMeanHI_p85_2d_walkforward,85,calendar-month bucket,ok
