year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,11036,253,3510
2016,15711,254,4276
2017,15931,254,5122
2018,12265,252,3877
2019,13162,254,3480
2020,12746,254,4177
2021,12653,254,3746
2022,16191,254,4498
2023,22729,254,5757
2024,21793,254,5828
2025,16677,254,4374
